stage,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fin.epithelia,fin.mesenchyme,glial,gut,heart,ionocyte,iridophores,liver,mesenchyme,muscle,neural,notochord,olfactory,paraxial.mesoderm,periderm,pronephros,spinal.cord,taste,vasculature
  5-6,26.88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.34,17.32,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.92,3.34,0,6.29,0,0,0,0,0
 10-12,0,0,0,0,0,4.29,0,0,0,0,0,0,0,0,0,0,6.25,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,7.65,0,0,0,0,8.44,0,0,0,0,0.99,0,2.35,0,0,0,0,0,2.08,0,0
 24-34,0,0,0.84,0,0,0,0,0,0,0,0,0,0,0,2.13,0,4.89,1.14,0,0,0,0,0.98,0,2.29
 36-46,0,0,0,0,0,0,0,0,0,0,0,0.61,0,0,1.88,0,5.31,0,0,0,0,1.77,0,0,0
 48-58,0,0,0,1.42,0,0,0,1,0.43,0,0,0,0,0,2.28,0,5.49,0,0,0,0,0,1.78,0,0
 60-70,0,0.86,0,6.81,0,0,0,0,1,0,0,0,0,0,4.85,0,16.38,0,0,0,0,1.09,1.45,0,0
 72-82,0,0.86,0,1.34,0,9.83,0,6.76,1.01,10.57,0,0,0,0,13.2,3.54,17.83,0,0,0,1.16,0,0,0,0
 84-94,0,2.77,0,3.44,6.94,1.4,0,1.36,0,17.49,0,0,0,0,1.98,0.77,4.27,0,0,0,0,6.38,0,0,0
 96-106,0,6.82,1.45,3.36,0,0,0,1.24,1.42,50.57,0,0,0,0,2.26,0,41.16,0,0.59,0,0,2.8,3.37,1.14,0
108-118,0,2.09,1.63,3.52,0,6.82,0.74,7.02,0,65.21,0.43,0,0.43,3.73,3.34,5.14,23.52,0,0,0,0,3.41,0,0,0
120,0,3.64,0,11.44,0,0,0,0,0,105.43,2.18,0,0,0,0,2.8,69.9,0,0,0,0,0,0,0,0
