stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,iridophores,lateral_line,melanocytes,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,24.73,241.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.6,0,0,0,0,0,0,0,0
  5-6,32.83,89.76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,3.4,0,0,0,0,0,0,0,5.46,0,0,0,0,0,0,0,0,70.28,0,0,0,4.08,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,8.21,0,0,0,0,5.47,0,0,0,0,0,0,0,0,23.59,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,1.73,0.85,1.21,0,0,1.06,0,0,0,0,0,0,0,0,0,0,8.8,0,0,0,0,0,0,0,2.28,2.07,0,0,0,0,0
 24-34,0,0,0,0.85,0,3.72,0,0,3.55,0,0,0,0,0,0,0,4.54,0,4.34,35.6,0,1.19,0.74,0,0,0,0,0,11.49,0,0,6.46,0,0
 36-46,0,0,0,0,0,7.53,0,0,0.9,0,0,0,0,0,0,0,11.87,0,1.37,58.37,0,1.22,0,0,0,0,0,0,25.21,0,0,0,0,0
 48-58,0,0,0,1.81,0,28.67,0,0,4.67,0,0,1.27,0.48,0,0,0,19.38,0,0.42,85.64,1.36,0.38,0,0,0,6.15,0,0,29.57,0,0,0.58,0,4.37
 60-70,0,0,0,0.71,0,89.21,0,3.04,7.15,0,0,0,0,0,0,0,16.26,0,1.8,148.76,0,2.9,0.86,0,0.63,0,1.44,0,30.14,0,0,0,0,0
 72-82,0,0,0,2.75,0,86.12,2.07,0.94,18.87,0.71,0,0.89,0,0.59,0,0,40.65,0,1.09,140.79,0,4.36,0.61,0,0,0,0,0,21.26,1.44,0.9,3.64,2.7,2.27
 84-94,0,0,0,7.6,0,66.45,0,1.09,7.32,0.93,0,0,0,1.29,0.89,0,42.19,0,2.78,94.51,0,13.69,0.65,0,0.6,1.14,0,0,10.46,0,1.7,0,0,0
 96-106,0,0,0,0,0,70.79,0,0,13.3,0,0,0,0,0.95,0,0.98,38.54,0,0,73.99,0,0,0,0,0,1.55,0,0,16.15,0,0,4.63,0.96,0
108-118,0,0,0,2.73,0,76.26,0,0,19.94,0,0,0,0,1.07,1.02,0.91,25.45,2.64,1.65,77.09,1.95,2.33,0,0,0,1.93,0,0,0,4.38,2.26,1,2.47,1.14
120,0,0,0,0,0,113.72,0,1.6,17.28,1.14,0,4.83,0,0,0,0,32.22,0,1.5,185.69,2.7,0,0,0,0,1.34,0,0,10.91,0,0,0,0,0
