stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle
  3-4,105.97,1777.57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46.54,0,0,0,0,0,0,0,0,0
  5-6,55.45,805.11,0,9.08,0,0,0,0,0,0,0,0,0,10.32,0,0,0,0,0,0,0,0,0,17.95,0,0,0,0,0,24.27,0,0,0,0,0,0,0,0,0
  7-9,16.29,0,0,16.48,0,0,0,53.36,0,0,0,0,0,104.67,0,0,0,0,0,0,0,0,0,475.83,45.81,0,0,131.02,0,0,18.23,0,0,0,0,0,0,0,0
 10-12,0,15.76,0,14.4,0,0,0,18.98,0,0,0,0,0,284.71,0,0,0,0,0,0,0,0,0,185.31,7.08,0,0,41.77,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,2.09,3.86,6.59,0.88,0,3.83,0,0,0,0,1.64,101.76,0.81,0.9,0,0,13.34,0,3.36,0,0.87,37.5,2.84,6.15,1.05,0.94,0,12.82,0,6.35,1.65,6.82,14.44,0,0,0,0
 24-34,0,0,0.8,0,0.98,0,0,3.31,0,0,0,4.07,3.28,33.38,24.97,0,0,0,31.24,0.65,0.67,5.96,0,28.3,0,3.67,0,0,0,12.18,0,0,3.21,0,6.84,0,0,4.1,0
 36-46,0,0,0,0,0,0,0,2.08,0,0,0,21.69,2.53,3.71,38.11,2.77,0,0,8.21,0,2.88,14.55,0,49.3,0,0,0,0,0,5.01,0,0,1.3,0,7.51,0,0,0,0
 48-58,0,0,0.44,0,1.36,0,0,10.71,0,0,0,25.09,1.81,7.26,18.86,7.83,1.96,0,4.99,0,0.42,25.4,0,48.33,0,1.95,0.38,0,0,0.49,0,0,0.47,0,6.33,0,0,0,0
 60-70,0,0,0,5.18,0,0,0,11.93,0,0,0,91.92,12.55,16.85,19.72,10.45,0,0.85,2.59,0,0.68,19.1,0,73.75,0,0,0.91,0,0,0,0,0,0,0,10.18,0,0,2.1,0
 72-82,0,0,1.14,0,1.42,0,0.57,28.61,0,1.63,0,18.76,33.98,2.65,21.94,6.84,0,1.53,0,0,20.29,27.84,0,99.86,0,0,5.34,0,0.72,0,0,0,0.76,0,11.04,3.44,0,0,0
 84-94,0,0,0.56,0,7.37,2.42,8.31,48.92,0,0,0.8,18.19,96.67,2.66,46.92,0,0,0,2.33,0,3.88,27.47,0,55.59,0,0.77,0.6,0,0,4.61,0,0,0,0,0,0.86,2.05,0.57,0
 96-106,0,0,1.53,0,6.19,1.58,15.44,35.67,0.58,0,0,19.78,136.67,1.32,59.65,2.25,0,0.9,4.68,0,10.55,42.07,0,73.61,0,2.26,3.22,0,0,2.72,0,0,1.41,0,1.12,1.92,0,0.77,0
108-118,0,0,1.12,0.99,1.88,4.29,26.56,39.4,0,0,0,31.5,104.76,0,33.08,0.47,0,0,1.35,0,6.56,32.11,0,70.46,0,1.13,2.13,0,0,0.61,0,0,1.37,0,0,6.23,0,3.13,3.85
120,0,0,0,0,1.16,0,5.57,12.01,0,0,0,8.02,73.64,0,71.81,1.51,0,0,6.54,0,19.99,4.23,0,82.54,0,0,0,0,0,2.19,0,0,1.94,0,0,6.72,0,0,0
