stage,axial,blastomeres,epidermis,eye,glial,gut,hatching_gland,immune,ionocyte,lateral_line,mesenchyme,neural,olfactory,otic,paraxial_mesoderm,periderm,pgc,spinal_cord,vasculature
  3-4,19.82,406.7,0,0,0,0,0,0,0,0,0,0,0,0,0,43.74,0,0,0
  5-6,19.1,411.97,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,15.79,0,0,5.61,0,0,0,0,54.56,0,0,7.44,0,5.15,0,0
 10-12,0,6.96,0,19.57,0,0,8.7,0,0,0,0,154.66,0,0,25.78,13.34,0,0,0
 14-21,0,0,5.36,1.05,1.62,0,0,0,0,0,0.81,10.91,0,0,0,3.25,0,3.88,0
 24-34,0,0,0,0,0,0,0,0,0,0,0,1.73,0,0.86,0,10.56,0,1.05,0
 36-46,0,0,0,0,0,0,0,0,0,0,0,1.28,1.13,0,0,13.23,0,0,0
 48-58,0,0,0,2.39,1.5,0,0,0,0,0,0,1.38,0,0,0,13.86,0,0,0.84
 60-70,0,0,0,1.91,0,0,0,0,0,0,0,0,0,0,0,2.46,0,0,0
 72-82,0,0,0,4.77,1.13,0,0,0,0.52,0,0.61,2.25,0,0,0,4.02,0,1.37,0
 84-94,0,0,0,13.11,2.43,0,0,1.59,0,0,0,1.57,0,0,0,2.63,0,0,0
 96-106,0,0,0,5.62,0,0,0,0,0,0.66,0,0,0,0,0,4.49,0,0,0
108-118,0,0,0,5.75,0,0.42,0,0,0,0,0,0,0,0,0,1.01,0,0,0
120,0,0,0,19.65,0,0,0,0,0,0,0,1.44,0,0,0,1.41,0,0,0
