stage,blastomeres,endocrine_pancreas,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,liver,melanocytes,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,21.99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,44.34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28.73,0,0,0,39.69,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,78.99,20.24,0,0,798.93,0,0,0,0,0,0,101.83,0,0,0,0,0,0
 14-21,0,0,7.19,0,0,0,0,0,0,0,0,0,0,0,0,0,0.83,0,17.02,76.66,6.8,0,0,0,0,3.74,2.22,168.13,0,128.86,1015.81,46.81,0,0,0,0,0
 24-34,0,0.97,1.19,0,6.34,0,0,2.27,0.63,0,0.98,0,0,0,0,0,6.95,0,13.41,570.41,4.67,9.86,0,0,0,7.17,0,1.19,1.13,17.25,209.03,254.86,0,0,0.61,0,0
 36-46,0,0,0,0,20.15,0,0,11.63,2.09,0,0,0,0,0,0,0,14.59,0.98,20.68,1742.53,0,12.59,0,0,0,7.8,0,0,0,3.13,5.54,620.22,0,0,0,0,1.02
 48-58,0,0,4.39,0,145.41,10.08,8.55,33.59,34.87,0,1.2,0.92,0,0,7.53,1.59,14.53,0.68,50.64,2641.46,0.52,4.22,1.22,0,0,5.99,0,0,0,1.71,0,676.22,0,0,0,0,3.57
 60-70,0,0,7.46,0,815.77,7.74,3.8,55.73,22.43,0,0,0,0,0,13.61,0,21.73,0.93,30.17,3136.23,0,9.14,0,0,0.63,19.08,0,1.38,0,1.73,0,552.12,0,0,0,0,2.08
 72-82,0,0.5,10.55,0.83,1296.95,1.08,0,46.98,36.1,0,2.3,0,0,0,0,0.95,53.94,1.46,25.04,3358.61,0,8.53,3.1,0,3.91,6.29,0,0,0,0,0,295.92,0,2.91,7.22,1.55,0
 84-94,0,4.46,12.74,4.59,893.19,2.63,8.63,20.19,41,2.92,0,6.15,0,0,0,0,37.64,4.28,17.17,1924.54,0,12.84,0.69,0,4.49,13.45,0,0,0,0.63,0,217.15,5.88,1.74,0,2.18,0
 96-106,0,1.62,14.25,4.44,1048.19,2.31,0,21.3,54.04,0,1.79,0,0,0,1.54,4.28,49.31,0,23.81,1886.48,0.58,11.45,0,0,18.33,13.41,0,0,0,0.69,0,79.74,1.02,2.71,0.69,1.66,0
108-118,0,0,18.33,1.44,980.36,5.24,2.46,21.09,42.28,0,0,3.89,0.43,0.46,0,3.29,28.91,5.86,25.8,1915.35,0,9.61,1.28,0,26.68,10.91,0,0,1.68,0,0,51.78,1.35,1.26,1.76,2.87,0
120,0,0,8.02,2.56,630.62,19.22,1.14,6.23,92.11,8.89,0,0,0,0,0,3.24,72.87,0,34.65,2365.9,4,5.12,4.64,0,0,4.73,0,0,0,0,0,98.04,0,0,4.02,0,16.51
