stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,glial,gut,hatching_gland,iridophores,mesenchyme,mucous,mural_cell,muscle,neural,paraxial_mesoderm,periderm,somites,spinal_cord,vascular_smooth_muscle,vasculature,visceral_smooth_muscle
  3-4,0,20.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,6.89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,4.24,0,0,0,0,3.56,0,0,0,0,0,0,0,0,13.63,3.52,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,3.19,0,0,0,0,0,11.39,0,0,0,0,0,0,0
 14-21,0,0,1,0.85,0,0,0,0,0,0,0,0,0,0,3.17,0,0,0.83,0,0,0,0
 24-34,0,0,0,0,0,0.91,0,0,0,0,0,0,0,0,17.78,0,1.66,0,4.19,0,0,0
 36-46,0,0,0,0,0,4.24,0,0,0,0,0,0.68,0,0,11.28,0,0,0,3.67,0,0,0
 48-58,0,0,0,0,0,7.75,0.9,0,0,0,3.09,0,0,0,37.47,0,0,0,3.71,0,0,0
 60-70,0,0,0,0.77,0,11.64,2.3,2.47,0,0,3.16,0,0,0,15.03,0,0,0,9.23,0,0.6,0
 72-82,0,0,0,0,2.24,17.87,1.26,2.33,0,0.63,2.3,0,0,0,9.9,0,2.86,0,0,0.76,0.62,0
 84-94,0,0,0,0,0,12.89,3.65,3.93,0,4.7,5.13,0,0,0,14.97,0,5.15,0,0,0,1.8,0
 96-106,0,0,0,0,0,3.45,1.69,4.4,0,3.12,12.41,0,1.09,0,35.96,0,0,0,0,0,0,7.01
108-118,0,0,0,7.86,0,3.8,5.88,10.37,0,8.27,1.46,0,0.69,1.25,34.34,0,0,0,0,0,0,2.19
120,0,0,0,0,0,5.24,14.31,9.78,0,0,0,0,0,0,5.46,0,2.51,0,0,0,0,30.61
