stage,axial,blastomeres,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,somites,spinal_cord,taste,vasculature,visceral_smooth_muscle,xanthophores
  3-4,791.29,16971.51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,771.75,0,0,0,0,0,0,0,0,0
  5-6,705.71,14638.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,363.05,20.07,0,0,80.6,0,224.2,0,0,0,0,0,0,0,0,0
  7-9,59.76,77.52,71.53,0,0,0,240.98,0,0,0,0,68.81,0,0,0,0,0,0,0,0,0,0,0,3086.77,94.69,0,0,758.04,0,21.58,33.92,0,0,0,0,0,0,0,0
 10-12,0,61.65,133.23,0,4.95,0,149.7,0,0,0,0,40.1,0,0,0,0,0,0,0,0,0,0,0,2457.42,33.29,0,0,478.66,0,23.77,20.94,4.56,88.71,16.2,0,0,0,0,0
 14-21,0,0,23.91,465.89,52.88,0,65.65,0,0,20.76,15.82,1.86,0,7.17,15.91,0,0.92,0,0,158.67,0,0,79.93,1138.03,53.85,6.11,22.56,16.19,0,200.44,0,95.99,11.21,63.01,207.98,0,10.95,0,0
 24-34,0,0,7.04,91.13,12.8,0,118.64,0.66,1.36,19.05,7.84,0,3.02,14.16,2.99,7.29,7.17,16.3,0,155.51,17.6,2.39,69.61,1387.32,17.25,8.93,19.67,0,0,273.14,0,2.32,4.82,2.11,243.94,0,53.66,0,0.77
 36-46,0,0,0,42,2.65,0,183.38,0,0,18.14,3.82,0,1.72,21.09,0.83,1.76,2.69,2.07,0,85.83,3.37,3.33,34.32,703.73,3.6,3.75,6.16,0,0,122.26,0,1.39,2.21,0,135.91,0,23.06,0,6.13
 48-58,0,0,0,33.02,0.42,0,205.39,1.17,0.45,31.06,1.06,0,6,9.82,1.36,0.38,1.36,1.01,0,72.92,2.03,7.72,20.21,222.35,5.67,1.27,7.56,0,0,30.38,0,0,0,0,41.91,0,26.27,0,4.3
 60-70,0,0,0,34.25,0,0,114.77,2.64,0,37.89,2.14,0,1.31,2.21,0,10.28,2.62,1.32,0,39.12,0,8.32,5.26,134.14,5.21,4.25,1.81,0,0,12.18,0,0,0,0,20.43,0,16.19,0,2.71
 72-82,0,0,0,29.77,3.44,0,82.37,0,0,21.99,5.93,0,4.28,7.05,0,0,1.9,5.04,0,62.85,1.31,12.11,9.52,146.39,0.62,1.78,11.81,0,0,3.97,0,0,1.51,0,4.14,0,20.6,0,4.09
 84-94,0,0,0,34.72,3.46,0.58,52.91,0,0.77,16.36,4,0,0.97,5.2,0,3.53,0.78,4.44,0,46.25,0,4.59,10.5,66.11,4.4,3.08,4.5,0,0,17.02,0,0,7.18,0,3.88,1.03,24.68,0,3
 96-106,0,0,0,25.45,1.15,0,46.93,1.09,0,20.54,10.84,0,6.01,27.36,0,0,1.48,5.18,0,33.81,0,2.81,1.39,84.19,6.93,5.43,8.26,0,0,17.77,0,0,4.15,0,0.6,1.67,23.95,1.11,0
108-118,0,0,0,19.94,2.49,0,43.49,0,0,23.27,7.5,0,0,13.71,2,1.89,0,21.12,2.43,29.68,0.48,3.69,5.08,91.07,3.31,0.91,10.81,0,0.95,8.53,0,0,0.87,0,0,2.26,27.39,1.13,0
120,0,0,0,14.33,3.54,0,36.06,0,0,10.7,5.16,0,0,10.65,0,0,2.13,6.03,0,29.89,0,1.41,4.14,109.17,3.45,8.55,7.73,0,0,15.87,0,0,0,0,0,0,20.13,0,0
