stage,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fin.mesenchyme,glial,gut,immune,ionocyte,mesenchyme,mucous,muscle,neural,notochord,otic,pericytes,presomitic.mesoderm,pronephros,somites,spinal.cord,taste,vasculature
 14-21,0.9,4.01,0,0,0,0,0.89,0,0,0,3.73,0,0,9.91,0,0,0,4.29,0,0,6.85,0,0
 24-34,0,0,0,0,0,0,0,0.71,0,0,0,0,0,22.49,0,0,0,0,0,0.67,1.61,0,1.08
 36-46,0,0,0,0,3.36,0,0,0,0.73,0,2.08,0,0,11.1,0,0,0,0,0,0,5.51,0,0
 48-58,0,5.91,0,0,5.88,0,0,0,0,0,2,0,0.77,18.21,0.55,0,0,0,0,0,1.16,0,0
 60-70,0,0,0,0,14.64,0,1.74,0,1.11,0,2.17,0,0,36.2,0,0,0,0,5.73,0,6.45,0,0
 72-82,0,0.98,0,0,4.91,3.21,1.32,0.55,0.87,0,5.11,0,0,52,0,0.61,0.83,0,0,0,10.81,0,0
 84-94,0,0,6.25,0,2.67,0,0,1.25,0,0,2.31,0,0,2.83,0,0.55,0,0,0,0,0,0,0
 96-106,0,0,0,1.05,1.56,0,4.14,0,8.31,0.59,1.83,3.31,0,24.81,0,0,0,0,0,0,0,0,0
108-118,0,0,0,0,7.77,0,1.78,1.44,10.87,0,2.58,0,0.49,15.53,0,1.72,0,0,0,0,0.78,0.69,0
120,0,1.47,2.63,0,0,0,0,0,11.43,0,8.71,0,0,45.2,0,0,0,0,0,0,0,0,0
