stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,iridophores,lateral_line,liver,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,0,15.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,12.48,26.71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,5.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.12,0,0,0,7.92,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,8.14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,96.65,3.74,0,0,20.73,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,1.54,5.51,2.03,1.19,0,0,0,6.28,0,3.03,0.85,0,0,3.71,2.98,0,0,6.96,232.72,0,0,0.92,0,0,0,3.32,0,5.86,6.47,73.62,0,0,0,0,0
 24-34,0,0,0,0,1.56,0.81,11.01,0,1.18,0,6.16,0,0,0,0,0,0,6.7,0,0,3.94,1281.41,0,5.69,0,0,0,0,0,0.78,0.65,0.67,308.92,0,0,7.7,0,0
 36-46,0,0,0,0,1.44,0,112.43,0,0,0,37.41,0,0,0,0,0,0,13.55,0,0,3.65,2366.01,0,5.94,1.46,0,0,0.72,0,0,6.86,0,503.54,0,0,1.04,0,2.32
 48-58,0,0,0.44,0,2.04,1.34,276.85,0,0,4.31,103.17,0,0,0,0,0,0,17.31,0,0,9.23,2145.66,0,3.99,0,0,0,0,0,0,0,0,494.57,0,0,2.44,0,0
 60-70,0,0,0,0,0,0,446.2,0,0.67,0,90.02,0,0,0,5.88,0,0,24.62,3.18,0,1.67,1367.8,0,3.05,0,0,0,0,0,1.17,0,0,211.15,0,0,0,0,4.42
 72-82,0,0,2.16,0,1.61,0,438.64,0,2.88,0,115.47,0.85,1.87,0,0.65,0,0,55.54,0,1.63,1.44,1098.14,0,2.2,0,0,1.77,5.32,0,0,0,0,109.74,1.36,1.91,0,2.47,3.1
 84-94,0,0,0,0,8.34,1.08,344.93,0.69,0,0.69,50.62,0,0,0.64,0,0,0,16.15,0,1.17,4.51,707.36,0,6.6,0.59,0,0,0,0,0,0,0,58.09,2.02,0,0,1.52,11.39
 96-106,0,0,0.99,0,24.94,1.59,279.21,0,0.63,1.1,42.02,0.59,0,4.07,0,0.59,6.64,35.26,5.34,1.02,3.41,643.39,0,4.33,2.35,0,1.04,4.72,0,0.73,0,0,34.03,0,2.19,3.5,1.87,0
108-118,0,0,1.15,0,10.66,1.17,226.44,0,0.42,0.66,52.53,0,0,2.22,0,0,0,27.09,0,1.96,2.34,670.35,0,1.33,0,0,4.59,0,0,0,0,0,33.44,0,7.84,4.62,4.63,0
120,0,0,3.99,0,13.28,0,124.52,0,0,0,53.81,0,0,0,0,0,0,13.64,0,0,1.12,956.64,0,1.29,3.16,0,0,0,0,0,0,0,7.02,0,0,0,0,0
