stage,endocrine.pancreas,epidermis,erythrocytes,eye,glial,mesenchyme,mural.cell,muscle,neural,olfactory,pronephros,spinal.cord,vascular.smooth.muscle,vasculature
 14-21,0,0,0.85,0,3.33,0.84,0,0,6.96,0,0,4.55,0,0
 24-34,0,0,0,0.77,4.12,1.31,0,0,10.73,0,0.7,2.88,0,0.73
 36-46,0,0,0,0,0,0.65,0,0,1.58,0,1.24,0,0,0
 48-58,0,0,0,0,0,0.58,0.51,0,4.6,0,0,0,0,0
 60-70,0,0,0.72,0,0.58,0,0,0,2.9,1.56,0,0,0,0
 72-82,0,0,0,0,1.36,0,0,0,0,0.74,0,0,0.93,0
 84-94,0,0,0,0,0,3,0,0,0,0,0,0,0,0
 96-106,0,0.65,0,0,0,0.74,0,0,10.79,0,0,0,0,0
108-118,1.15,0,0,0,0,0,0,0.85,0,0,0,0,0,0
