stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,paraxial_mesoderm,pericytes,periderm,pgc,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,16.57,388.19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.57,0,0,0,0,0,0,0,0,0,0
  5-6,0,39.44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.5,0,0,3.65,0,0,13.69,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0.99,12.81,0,0.92,0,0,0,0.95,0,0,0,4.96,0,0,0,0,0,0,0,0,2.24,0.81,0,0,0,0,0,0,1.91,2.92,6.99,0,0,4.43,0,0
 24-34,0,0,0,0,2.54,0.66,0,13.41,0,0,0,0.6,0,0,3.27,29.65,0.6,0,2.91,4.85,1.41,1.1,0,0,8.03,0.75,0,0,0,0,0.98,0,0,0,0.78,0,0,46.43,0,5.78
 36-46,0,0,0,0,1.01,0,0,20.4,0,0,0,4.05,0,0,2.23,23.61,0,0,2.78,17.05,2.77,0,0,0,39.22,3.02,2.26,0,0,0,0,0,0,0,1.32,0,0,49.05,0,11.11
 48-58,0,0,0,0,0,2.76,0,17.57,1.96,0,6.18,6.08,0,0,2.16,28.96,3.62,0,1.49,9.6,5.37,0,0,2.75,28.69,1,0.63,0,0,0,0,0.57,1.61,0,7.01,0,0,62.07,0,3.47
 60-70,0,0,0,0,1.2,2.26,0,32.72,0,6.5,0.84,16.79,0,0,0.77,19.66,1.28,11.93,0,3.27,33.35,0,1.04,1.16,24.23,2.62,3.1,0,0,0,0,0,1.48,0,4.41,0,0,43.01,0.83,11.02
 72-82,0,0,0.79,0,11.17,16.49,0,15.98,0,0.6,4.49,37.17,5.41,0,0.75,31.7,0,4.71,0,0.5,41.67,1.59,0,4.82,46.33,0,2.5,0,1.78,0,0,0,0,0,11.52,1.02,2.24,127.37,0,11.31
 84-94,0,0,0,0,10.66,21.83,0.68,43.44,0,1.71,1.69,27.61,1.44,0,6.91,60.78,1.2,2.55,0.74,10.93,39.86,0,0,0.68,57.45,0,2.84,0,0,0,0,0.76,0,0,5.48,5.11,0,113.96,0,7.6
 96-106,0,0,2.85,0,44.3,9.5,0,41.97,0,6.43,0.96,35.15,7.38,0,14.21,59.05,0.69,7.57,3.07,8.4,44.76,0,7.72,4.26,64.57,0,3.58,0,1.57,6.19,0,0,0,0,0,12.71,0,79.24,1.93,7.91
108-118,0,0,0,0.74,64.03,15.11,14.93,56.61,0,2.76,5.36,41.76,12.09,0,2.49,76.31,2.95,25.8,4.94,11.85,62.87,1.68,0,2.82,32.56,0.51,3.16,0,0,8.09,0,0.75,0,0,1.76,9.81,0,83.77,0,6.85
120,0,0,8.22,0,77.91,12.46,2.66,31.24,2.76,9.74,0,50.4,13.94,5.2,0,155.83,3.75,3.92,2.36,17.36,60.09,0,0,1.51,140.68,8.95,2.61,0,2.03,2.75,0,0,1.37,0,9.15,0,0,126.57,17.64,0
