stage,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,pericytes,periderm,presomitic.mesoderm,pronephros,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,xanthophores
 14-21,0,0,1.67,0,3.22,0,0,0,0,0,0,0,0,0,0,0,0,0,0.88,15.4,0,0,0,0,1.01,1.99,0,5.78,5.85,0,0,0,0
 24-34,0,0,7.28,0.66,2.21,0,0.68,0,0,0,0,0,0,0,0,0,9.55,0,5.37,33.15,0,0,0,0,0,0,0,2.18,3.09,0,0,9.45,0
 36-46,0,0,0,0,2.16,0,1.46,1.14,0,0,0,0,0,0,0,5.51,16.13,0,3.29,51.44,0,10.06,2.17,0,0.84,0,0.56,0,7.87,0,0,1.91,0
 48-58,0,0,0,0,17.79,0,0,8.22,0.51,0,0,0,0,0.43,4.18,0,19.21,0,4.49,27.47,0,0.78,0,0,0,0,0,0,8.75,0,0,15.06,0.45
 60-70,1.23,0,0,0,14.97,0,6.44,9.2,10.07,0,1.09,0,0,0.77,0,0,26.15,0,4.66,53.74,4.92,0,0,0,0,0,8.53,0,8.39,0,0.98,1.58,0
 72-82,1.1,0,3.1,0,47.48,0,5.58,19.27,12.42,0,0,0,0,0,0,0,73.37,0,5.14,42.46,0,1.2,0.97,0,1.75,0,14.18,0,23.15,0,0,3.99,0
 84-94,1.44,0,0.63,0,13.14,0,4.36,13.1,33.69,0.7,3.31,0,1.44,0.58,0,2.71,57.55,2.6,2.53,34.57,0,0,7.3,1.75,0.64,0,44.28,0,4.78,0.6,2.67,2.7,2.9
 96-106,1.41,0,1.38,2.41,6.96,1.25,3.56,22.89,35.41,0,4.79,0,2.67,0,3.87,0,41.44,4.61,1.28,75.2,0,6.71,3.61,0,2.99,0,45.42,0,8.45,0,0.77,11.43,0
108-118,0,0.49,2.2,1.28,19.92,0,2.91,21.84,44.58,0.99,1.81,1.18,2.61,0.94,2.49,1.96,45.5,1.32,2.12,63.7,0,0,0.92,0,0,0,50.36,0,1.92,0.54,2.82,5.02,0
120,0,0,0,0,3.21,0,2.12,31.19,35.84,0,0,0,0,0,0,0,69.38,0,5.87,24.2,1.48,0,0,0,0,0,41.67,0,9.59,0,0,8.01,0
