stage,blastomeres,epidermis,erythrocytes,eye,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,olfactory,otic,pericytes,periderm,pronephros,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  5-6,21.32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.61,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,203.11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.37,0.86,0,0,5.93,0,0,0,0,0,1,0.83,0,0,0,0,0
 24-34,0,1289.76,0,2.85,98.42,0,0,0.67,0,0,4.36,0.61,0,0,9.5,0,21.37,14.93,0,14.81,138.48,0,0,0,3.08,4.06,0,20.99,0,0,0,0,0
 36-46,0,1589.84,13.46,8.58,336.76,3.28,1.08,0,0,0.95,15,0,0,0,0,2.05,3.76,13.23,0,2.24,81.92,0.84,1.44,0,6.5,0,0,16.77,0,0.85,4.62,0,0
 48-58,0,1542.78,0,35.22,417.36,0,9.97,0,0,0.42,3.3,5.29,0,0,0,5.25,11.49,10.43,0,0.4,89.91,1.63,0,0,8.03,0,0,27.11,0,0,6.85,0,6.51
 60-70,0,1274.13,0,19.65,369.11,0.84,4.54,0,0,0,15.45,0,0,2.4,9.86,0,10.36,14.21,0,0.83,70.28,0,0,0,2.92,0,0,5.46,0,0,2.42,0,0
 72-82,0,932.9,1.47,24.16,259.28,4.17,3.75,0.61,0.59,0,17.74,2.12,0.73,0.64,0,0,6.04,13.67,1.5,0,48.83,1.7,0,0,2.77,0,0,5.61,0.97,0,0.5,0,0
 84-94,0,1600.81,6,14.79,428.26,0,5.06,1.93,0,2.1,11.58,8.63,0,0,0,0,12.78,18.99,3.74,0,51.84,0,0,0,5.82,0.84,0,5.3,0.83,0,1.91,1.86,4.41
 96-106,0,1324.52,22.61,28.4,298.48,2.22,3.92,0,0,0.68,12.38,3.71,0,0,0,0,13.13,22.65,0,0,69.62,1.63,0.63,3.48,12.36,0,0,4.02,1.34,0,8,0,2.75
108-118,0,1683.14,2.13,26,493.19,1.28,12.82,7.79,0,0,19.93,1.03,0,0.47,0,0,17.6,12.19,0,0,37.58,1.07,0,0,14.19,0,0,0,0,0,0.86,0.66,3.32
120,0,1829.05,1.49,11.58,352.53,0,0,1.07,0,0,28.24,5.71,0,0,0,0,21.92,7.86,0,1.5,130.9,0,0,0,9.31,2.12,0,0,1.99,0,0,0,0
