stage,fast_muscle,mesenchyme,muscle,neural,slow_muscle
 24-34,0,0,0,2.19,0
 60-70,0,0,0,1.26,0
 72-82,0,0,4.39,4.49,0
 84-94,7.52,8.86,0,0,0
 96-106,4.41,0,0,0,0.64
108-118,1.96,0,0,0,0
