stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,0,377.88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,15.71,673.27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.87,0,0,0,0,0,0,0,0,0,0,0
  7-9,3.24,52.55,16.46,0,0,153.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1765.49,19.91,0,0,228.09,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,31.04,29,0,0,86.79,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1064.29,21.04,0,0,136.19,0,0,0,10.17,0,5.05,0,0,0,0,0
 14-21,0,0,0,13.57,9.21,17.59,0,0.87,0,9.99,3.91,0,1.92,0,0.9,0,0,0,3.43,13.3,0,0,26.07,477.47,2.71,0,0.83,6.41,0,0,32.76,6.66,1.78,45.24,108.24,0,3.12,0,0
 24-34,0,0.83,0,11.01,0.76,46.68,0,0,3.78,22.34,0.68,0,3.5,0,3.47,0,1.66,0,1.83,67.83,0,0,44.74,1920.35,0.65,0.95,6.06,0,0,9.37,0,3.7,1.14,9.12,185.29,0,34.98,0,0.75
 36-46,0,0,0,25.23,2.92,67.4,0,0.57,9.61,100.05,0.72,0.76,3.8,0,0,18.43,3.73,0,3.3,94.42,0.63,2.28,36.58,1597.83,0.87,0,5.76,0,0,8.04,0,2.39,0,0,231.3,0,11.22,0.78,8.65
 48-58,0,0,0,5.61,0,79.66,0.63,4.48,7.11,158.2,0,0.48,1.02,1.05,0,2.29,0,0,0.79,138.71,1.06,0.37,42.67,749.22,0,1.67,0,0,0,14.09,0,1.89,0,0,213.2,0,10.53,0,0.56
 60-70,0,0,0,12.23,0,75.55,0,4.79,3.53,108.4,1.82,0,0.66,7.3,0,0,0,0,0,141.81,3.91,3.09,16.41,297.44,0.62,0,4.27,0,2.07,20.23,0,1.95,0,0,43.13,1.57,7.86,0,0
 72-82,0,0,0,6.51,7.05,25.35,1.21,1.86,17.09,88.42,0,0.52,0.82,0.61,1.07,0.83,0,0,0,179.38,0.88,1.78,21.67,156.18,0,0,0,0,0,8.51,0,2.86,0,0,4.89,0.52,14.8,1.78,4.65
 84-94,0.62,0,0,3.46,0,48.66,0,0,8.93,53.83,5.13,1.23,5.94,6.42,0.89,7.43,0,0,0,139.02,1.4,0.84,21.4,146.47,0,0,1.48,0,0.83,26.52,0,6.34,0,0,13.69,1.87,14,0.98,0
 96-106,0,0,0,4.34,11.51,25.23,0,0.69,2.82,72.44,1,1.32,2.43,3.03,0.99,1.81,0,0.84,0.65,91,8.39,2.12,18.33,138.41,1.43,1.65,2.26,0,0,21.45,0,1.28,0,0,8.52,1.66,13.19,0,0
108-118,0,0,0,9,0,35.65,0,0,1.99,56.67,2.02,0,2.64,4.59,0,4.64,1.38,0,0,102.94,2.46,4.34,7.29,235.54,0,0.96,6.4,0,6.97,5.94,0,5.15,0,0,2.56,5.19,1.95,4.86,6.5
120,0,0,0,6.25,1.62,34.12,0,0,4.33,66.08,0,0,0,20.41,0,6.03,0,19.61,9.24,75.17,2.09,0,8.03,166.74,0,1.45,8.75,0,28.74,25.24,0,1.84,0,0,0,0,1.96,0,0
