stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fin.epithelia,glial,gut,hatching.gland,heart,immune,iridophores,lateral.line,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,pgc,pronephros,slow.muscle,spinal.cord,taste,vascular.smooth.muscle,vasculature,xanthophores
  3-4,22.37,321.43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,77.91,0,0,0,0,0,0,0,0
  5-6,0,165.14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.18,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,8.76,0,0,0,3.29,0,0,0,0,0,0,0,0,0,38.23,5.33,0,0,27.39,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,10.29,0,10.76,6.32,0,0,0,0,0,0,0,0,0,0,0,0,0,86.27,5.37,0,0,14.24,0,0,0,0,0,0,0,0,0
 14-21,0,0,1.09,1.14,0.87,0.98,0,0,0,0,0,0,0,0,0,0,1.32,0,0,0,18.11,0,2.39,3.06,0,0,0,0,0,21.76,0,0,1.06,0
 24-34,0,0,0,0.6,1.32,0,6.77,0,1.11,0,0,0,0,0,3.86,1.87,0.64,0,0,1.65,55.58,0.8,32.37,13.7,0,0,0,0,0,84.2,0,0,0,1.8
 36-46,0,0,0,0,0,0,43.07,0,5.49,0,0,0,0,1.21,0.68,0,0.62,0,0.89,0,78.26,0,27.5,1.59,0,0,0,0,0,147.77,0,0,0,0
 48-58,0,0,0,0,1.43,0,89.92,0,7.53,0,0,0,0,0,0.84,0,1.26,0,0,0,106.72,0,36.07,21.39,0,0,0,0,0,62.08,0,0,0,0
 60-70,0,0,0,0,3.71,0,173.54,0.89,16.73,0,0,0,0,0,8.07,0,4.83,0,0,0,48.98,0,24.33,11.4,0,0,0,0,0,19.03,2.39,25,0,0
 72-82,0,0,0,0,3.23,0,179.33,0,69.16,4.74,0,0,0,0,3.77,0,5.05,0,0,0,33.91,0,24.33,10.14,0,0,0,0,0,20.96,6.79,9.07,0,0
 84-94,0,0,0.74,0,9.52,0,231.27,0,64.8,3.6,0,0,3.3,0.7,11.08,0,4.69,0,0,0,46.36,0,26.68,30.43,0,0,0,0,0,13.29,25.93,8.3,0,0
 96-106,0,0,2.22,0,1.11,4.18,279.1,0,162.57,6.06,0,0.71,0,0,4.98,0,10.5,0,6.17,0,39.26,0,57.94,18.8,0,1.56,2.06,0,0.6,10.58,50.2,8.79,0,1.44
108-118,0,0,0,0,7.66,0,223.86,0,162.22,8.43,0,0,0,0,1.76,0,2.55,0.94,0,0,19.65,0,26.25,15.26,0,0,0,0,0,0,51.82,9.51,0,1.95
120,0,0,0,0,3.72,1.06,251.64,0,206.11,7.45,0,0,0,0,7.92,0,5.59,0,0,0,39.21,0,25.76,16.32,0,0,0,1.83,0,14.78,29.76,14.1,0,0
