stage,blastomeres,endocrine.pancreas,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,heart,immune,ionocyte,lateral.line,liver,melanocytes,mesenchyme,muscle,neural,notochord,otic,paraxial.mesoderm,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  5-6,40.86,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,17.46,0,0,0,0,0,0,0,0,0,0,0,0,78.21,0,0,11.01,0,0,0,0,0,0,0,0,0,0,0
 10-12,6.68,0,0,5.18,3.39,0,0,0,0,0,0,0,0,0,0,0,0,60.84,5.13,0,39.9,0,0,0,0,0,3.51,0,0,0,0,0
 14-21,0,1.13,2.97,0,0,0,0,0,0.91,0,0,0,0,0,0,4.12,0,16.4,0,0,0.96,0,7.91,0,0,6.1,7.69,0,0,1.05,0,0
 24-34,0,0,0,0,1.34,0,0,0.84,4.44,0,0,0,1.75,0,3.78,4.53,1.08,39.56,0,0,0,1.94,0,0,3.38,0,12.05,0,0,0.87,0,0
 36-46,0,0,0,0,9.84,2.15,0,0,5.82,0.99,0,0,0,0,0,3.96,1.3,70.44,0,0,0,3.6,0,5.91,4.15,0,16.63,0,0,0,0,0
 48-58,0,0,1.94,0,11.48,2.17,0.66,0.56,5.71,0,0,0,0,0,0,3.6,0.37,35.13,0,0,0,0,0,0,3.08,0,13.33,0,0,0,0,0
 60-70,0,0,0,0,10.63,1.44,0,0,5.04,1.64,0,0,0,0,0,1.76,0.65,54.24,0,0,0,4.11,0,0,1.67,0,4.81,0,0,1.29,0,0
 72-82,0,0,0,0,7.48,0,0,0,1.94,0,0,0.7,0,1.49,2.93,4.58,0,40.12,1.43,1.71,0,0,0,0,1.07,0,1.37,0,1.7,1.61,0,0.55
 84-94,0,0,0,0,9.09,0,0,0,1.04,0,0,0,0,0,2.16,5.8,0,41.96,0,5.39,0,3.45,0,0.76,0,0,1.93,0,0,3.4,0,0
 96-106,0,1.15,0.96,0,13.66,1.98,0,0,3.33,0,0.56,0,0,0,0,2.7,4.08,23.22,0,0,0,2.71,0,0,0,0,9.6,0,0,0,0,0
108-118,0,0,0,0,22.26,0.46,0,0,4.31,0,2.07,0,0.6,0,0,7.29,1.03,37.28,0,0.44,0,2.42,0,0,0,0,0,0,0,0,0,0
120,0,0,0,0,21.19,0,0,0,2.98,4.46,1.53,0,0,0,0,1.52,7.9,43.52,0,0,0,0,0,0,0,0,0,6.74,0,0,5.66,0
