stage,blastomeres,epidermis,eye,fin.mesenchyme,glial,ionocyte,muscle,neural,otic,spinal.cord
  3-4,13.06,0,0,0,0,0,0,0,0,0
  5-6,34.37,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,30.15,0,0
 14-21,0,1.08,1.76,0,0,0,0,0,0,0
 24-34,0,0,0,0,0,0,0,2.54,0,0
 36-46,0,0,0,0,0,0,0,12.74,0,0
 48-58,0,0,0.47,0.43,0,0,0,21.09,0,0.44
 60-70,0,0,22.72,0,0,0,0,13.05,0,0
 72-82,0,0,129.94,0,2.95,0,0,18.19,0,0
 84-94,0,0,90.64,0,5.77,0,0,12.13,0,0
 96-106,0,0,151.17,0,4,0.58,1.11,15.41,0,0
108-118,0,2.92,115.57,0,0.7,0,0,29.05,0.76,0
120,0,0,81.09,0,0,0,0,61.06,3.55,0
