stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fin_mesenchyme,gut,mesenchyme,neural,notochord,otic,paraxial_mesoderm,periderm,pronephros,spinal_cord
  3-4,11.43,100.61,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,19.15,201.76,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,11.83,4.13,0,0,7.73,0,0,0,99.88,7.57,0,43.31,0,0,0
 10-12,0,0,7.42,0,10.96,4.29,0,0,0,71.89,0,0,42.6,0,0,0
 14-21,0,0,0,0,4.58,0,0,0,0,0,0,0,0,0,0,1.81
 24-34,0,0,0,0,0,0,0,0,0,1.91,0,0,0,0,0,1.44
 36-46,0,0,0,0,0,0,0,0,0,0,0,10.76,0,0,0,0
 48-58,0,0,0,0,0,0,0,0,0,6.26,0,0,0,0.56,0,0
 60-70,0,0,0,0,0,0,0.89,0,0,0,0,0,0,1.94,0,0
 72-82,0,0,0,0.52,0,0,0,0,0,0.89,0,0,0,0,0.53,0
 84-94,0,0,0,0,0,0,0,0,0,0,0,3.15,0,0,0,0
 96-106,0,0,0,0,0,0,0,0,0.64,0,0,0,0,1.71,0,0
108-118,0,0,0,0,0,0,0,0.67,0.56,0,0,0,0,0,0,0
