stage,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,immune,ionocyte,liver,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,periderm,presomitic.mesoderm,pronephros,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,xanthophores
 14-21,0,0.9,3.22,0,0,1.02,0,0,0,0,0,0,0,0,0,0,0,2.21,24.67,0,6.94,1.74,1.03,1260.53,1.99,65.83,0,0,0,0
 24-34,0,4.83,7.82,0,0,1.47,0,0,0,0,0.89,0,0.63,1.34,0.75,0,0,1.01,52.81,0.97,145.76,0,0,855.88,0,19.14,0,0,1.67,5.52
 36-46,0.77,1.52,0,0,0,9.35,0,0,0,0,1.33,0,0,3.45,0.99,0,0,0,10.39,0,202.37,0,0,594.88,0,7.24,0,0,0,0
 48-58,0,0,0,0,0,9.81,0,0,0,0.67,5.83,0,0,8.85,3.9,0,0,1.09,31.88,0,201.59,0.89,0,349.36,0,2.61,0,0,0,0
 60-70,0,0,0,0,0,15.12,0,0,0,0,3.96,0,0,3.11,2.6,0,0,1.2,17.16,0,186.84,3.57,0,242.83,0,3.77,0,0,0,0
 72-82,0,0,2.65,2.61,0,7.85,0.95,0,0,4.13,0,0,0,2.1,2.11,0,0,0,20.29,0,396.26,2.04,0,144.96,0,2.74,0,0,3,6.61
 84-94,0,11.43,4.78,3.96,0,4.12,0,0,0,12.43,4.26,3.25,0,17.85,3.56,0,0,0,7.77,0,442.95,3.25,0,416.24,0,0,0,0,1.76,0
 96-106,0,52.19,4.95,0,0,29.6,0,0.86,8.48,2.76,0.6,1.43,0,24.63,2.57,0,0.79,0,27.92,0.97,619.22,7.08,0,319.24,0,3.15,1.25,0,2.63,0
108-118,0,36.92,13.49,0,0.5,15.07,6.53,0,0,4.47,0.93,0,0,30,11.32,1.25,0,0,23.53,0,445.43,1.41,0,347.08,0,0,2.39,0,0,0
120,0,11.33,12.56,0,0,0,0,0,0,15.08,3.48,0,0,36.3,4.92,0,0,0,19.57,0,485.67,0,0,319.14,0,0,0,7.59,0,0
