stage,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,presomitic_mesoderm,pronephros,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  5-6,44.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,6.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.71,0,0,0,4.32,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,45,0,0,0,0,0,0,0,0,4.34,0,0,0,0,0,0,0,0,0,0,62.15,0,0,0,23.66,0,0,26.16,0,0,0,0,0,0,0
 14-21,0,3.28,1.22,26.76,0.99,0,0,0,0,1.11,2.01,0,0,0,0,0,0,0,29.9,0,0,12.8,135.06,1.39,7.38,0,8.97,0,3.23,0,9.44,132.86,0,0,0,0,0
 24-34,0,3.4,1.34,15.95,0,0.78,0,0,0,3.37,6.65,0,3.45,0,0,0.68,1.53,0,72.35,0,0,16.9,573.26,0.67,53.22,4.52,0,5.94,0,0,3.6,204.98,0,0,0,0,0
 36-46,0,0,0,5.79,0,13.13,0,2.79,1.46,2.54,1.52,0,0,0,0.94,1.07,0,5.42,65.57,0,3.08,3.62,1090.78,0.64,122.15,0,0,1.67,0,0,0,267.25,0,0,0,0,4.7
 48-58,0,0.84,0.4,4.08,0,67.54,0,0,0,3.46,1.01,0.48,0.75,0,5.18,0,0,0,20.32,1.73,0.99,3.24,1379.16,1.6,78.09,0.38,0,6.95,0,0,0,281.65,0,0,0.77,0.78,8.18
 60-70,0,1.51,0,1.15,0,123.89,0,0,0,9.28,0.96,0,0.88,0,0,0,0,0,28.74,0,2,0.74,1464.5,0,43.8,0,0,8.34,0,0,0,216.71,0.81,0,3.54,2.76,6.89
 72-82,0,2.05,0,8.39,4.17,136.77,0,4.54,0,25.32,3.5,0,0,0,0,0,9.13,0,27.99,0,1.91,1.12,1717.31,0,93.09,0,0,0,0,0.57,0,188.74,2.59,0.61,4.81,1.28,0
 84-94,0,3.01,0,6.02,0,132.91,0,0.68,3.27,9.27,0.57,0,0,0,0,0,0,0,24.95,0,2.23,3.89,1166.16,0,83.38,0,0,5.09,0,0,0,97.33,7.54,0,0,5.38,0
 96-106,0,3.21,0,6.2,0,80.43,0.57,0,0,18.91,3.83,0,0,0,0,0.58,9.55,0,28.15,0,0,0.77,1001.15,0,88.02,0.78,0,2.15,0,0,0,48.64,10.98,0,7.36,12.17,0
108-118,0,6.08,0,5.96,0,59.54,0,0,0,5.53,1.29,0,0,0.48,0,0.5,0,0,24.72,0,0,3.22,1069.86,0,53.2,0.78,0,0.56,0,0,0,31.68,12.95,0,11.01,4.42,0
120,0,0,0,14.33,0,95.26,0,0,0,3.21,0,0,2.11,0,3.86,0,0,0,11.28,0,0,0,1556.73,0,30.72,0,0,0,0,0,0,50.58,4.81,0,6.45,4.03,0
