stage,axial,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pronephros,slow.muscle,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26.34,3.44,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,1.88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.01,0,0,0,1.99,0,0,0,0,1.38,0,0,0,0,0
 24-34,0,0,0,0.68,0.84,0,0,0,0,0,0,0,3.67,0,0,0,0,0,0,0,0,0,0,0,27.58,0,0,0,0,0,0.87,0,0,0,0,0,0,0,0
 36-46,0,0,0,0.69,4.37,0,3.4,0,0,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,9.24,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 48-58,0,0,0,0,3.73,0,1.97,0,0,0,2.14,0,0,0,0,0,0,0,0,0,0.58,0,0,0,16.71,0,0,0.48,0,0,0,0,0,0,0,0,0,0,0
 60-70,0,0,0,0,6.05,180.9,0,0,0,0,0,3.12,0,0,0,0,0,0,0,0,0,0,0,0,12.95,0,0,0,0,0,0,0,0,4.49,0,0,0,0,0
 72-82,0,0,0,8.86,40,2549.39,67.1,0,0.78,0,15.11,4.49,0,0.9,0,4.01,6.47,0,9.29,0,47.52,1.59,0,4.11,277.51,0,2.36,5.64,0,0,18.69,0,0,3.44,0,0.57,10.06,1.42,6.27
 84-94,0,0,0,7.43,14.13,3745.62,101.16,0,0,0,7.63,0,0,0,4.43,2.06,0,0.8,0.6,0,21.7,0,1.13,1.09,239.43,0,0,1.54,0,0,19.25,1.34,0,6.52,5.25,1.38,0.85,3.29,0
 96-106,2.68,13.22,0,166.29,387.64,25903.25,750.82,13.47,22.87,36.11,213.29,47.41,0,8.93,67.66,14.94,13.72,25.29,293.26,6.45,555.44,37.34,13.92,54.09,2459.24,4.98,38.75,34.78,0,27.85,350.29,0.68,0,31.71,19.8,19.03,79.5,32.67,60.9
108-118,0,7.06,0.95,217.26,219.35,64411.67,2345.14,11.59,42.57,41.3,509.47,67.87,0,16.7,60.07,29.39,90.52,21.4,147.65,38.74,976.26,46.26,49.9,88.69,4673.34,23.45,27.33,63.55,0,25.52,471.46,9.82,4.78,108.3,21.71,10.42,91,24.75,241.36
120,1.19,22.82,0,171.72,140.18,25992.86,1098.27,4.65,5.46,46.8,531.73,11.14,5.2,7.61,109.05,29.21,12.23,3.8,91.04,3.1,697.01,7.76,51.04,34.67,4421.15,24.3,65.25,27.42,0,19.8,157.03,15.99,1.63,69.92,6.72,18.98,136.35,35.21,62.75
