stage,blastomeres,epidermis,eye,mesenchyme,muscle,neural,paraxial.mesoderm,periderm,spinal.cord
  5-6,28.21,0,0,0,0,0,6.69,0,0
  7-9,0,0,0,0,0,27.66,3.37,0,0
 14-21,0,1.65,0,0,0,1.52,0,0,0
 24-34,0,0,0,0,0,0,0,0.7,0
 36-46,0,0,0,0,0.83,0,0,0,0.62
 48-58,0,0,0.69,0,0,0,0,0,0
 60-70,0,0,0,1.06,0,8.89,0,0,0.8
 72-82,0,0,6.65,0,0,0.95,0,0,0
 84-94,0,0,0.67,0,0,0,0,0,0
