stage,blastomeres,epidermis,erythrocytes,eye,fin.epithelia,glial,immune,lateral.line,melanocytes,mesenchyme,mural.cell,muscle,neural,otic,pericytes,periderm,vascular.smooth.muscle,vasculature,visceral.smooth.muscle
  5-6,7.68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,4.21,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,0.8,0,0,0,0,0,0
 24-34,0,0.6,0,0,0,0,0,0,0,2.34,0.82,0,2.29,0,0,0,0,0,0
 36-46,0,0,0,3.13,0,0,0,0,0,2.69,1.77,0,3.28,0,0,0,0,0,0
 48-58,0,0,0,27.59,0,0,0,0,0,2.15,5.81,0,2.5,0,0,0,0.49,0,0
 60-70,0,0,0,58.44,0,0,0,0,0,0,15.9,0,4.53,0,0,0,0,0,0.87
 72-82,0,0,0,121.33,0,0,0,0,0,11.55,10.68,1.53,7.72,0,1.1,0,3.72,0,10.96
 84-94,0,0,2.59,168.86,0,0,0,0,0,0,5.47,0,0,0,1.31,3.86,5.35,0,9.13
 96-106,0,0,3.08,333.3,0.57,7.45,0.96,0.62,0,0,0.67,0,20,0.85,5.46,0,4.17,5.42,24.98
108-118,0,0,0,310.47,0,1.69,0,0,7.61,3.01,3.97,0,10.8,0,0,1.33,0,0,20.88
120,0,0,0,181.66,0,11.05,1.45,0,0,3.12,0,0,11.98,0,0,2.32,0,0,43.86
