stage,blastomeres,endocrine.pancreas,epidermis,eye,fin.epithelia,glial,gut,hatching.gland,ionocyte,lateral.line,mesenchyme,mucous,muscle,neural,olfactory,otic,paraxial.mesoderm,periderm,presomitic.mesoderm,pronephros,spinal.cord
  3-4,13.77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,43.76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.83,0,0,0,0
 14-21,0,0,1.22,0,0,0,0,0,0,0,0,0,0.87,0.93,0,0,0,2.12,1.59,0,0
 24-34,0,0,0,0,0,0,0,0,0,0,0,0,0,0.76,0,0,0,3.05,0,0,0.69
 36-46,0,0,3.74,0.87,0,0,0,0,0.63,0,0,0,0,12.32,0,0,0,5.8,0,0,1.49
 48-58,0,0,1.76,0.95,0,0.52,0,0,0,0,0,0,0,11.83,0,0,0,4.26,0,0,0.92
 60-70,0,0,0,7.13,0,8.65,0,0,0,0,3.04,0.62,0,18.79,0,0,0,3.41,0,0,0
 72-82,0,0,0,5.62,0,0,0.86,0,0,0,1.71,0,0,0,0,0,0,2.73,0,0.55,0
 84-94,0,2.22,3.82,0,0,0,0,0,0,0,0,0,0,1.25,0,0,0,7.98,0,0,1.6
 96-106,0,0,2.27,1.62,0,0,0,0,0,0,1.22,0.81,0,3.96,0.87,1.47,0,0,0,0,0
108-118,0,0,0.44,2.37,1.46,0,1.06,2.74,0,0.47,4.21,5.42,0,0.48,0,0.78,0,4.89,0,0,0
120,0,0,0,0,0,0,0,0,0,2.94,0,0,0,17.15,0,0,0,0,0,0,0
