stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,glial,hatching.gland,immune,liver,mesenchyme,muscle,neural,notochord,otic,paraxial.mesoderm,periderm,presomitic.mesoderm,somites,spinal.cord,xanthophores
  3-4,48.1,225.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,68.04,674.56,0,0,0,0,0,8.74,0,0,0,0,11.66,0,0,0,9.26,0,0,0,0
  7-9,0,14,5.17,0,0,26.78,0,3.47,0,0,0,0,213.08,22.78,0,93.68,0,0,0,0,0
 10-12,0,0,32.62,0,0,3.55,0,0,0,0,0,0,93.55,0,0,44.8,0,0,4.93,0,0
 14-21,0,0,0,3.62,0,1.73,0,0,0,0,0.83,0.99,12.54,0,0,0,0.89,0.8,2,0,0
 24-34,0,0,0,0,0,4.1,0,0,0,0,0.82,0.65,9.18,0,0,0,2.19,0,0,1.58,0
 36-46,0,0,0,0,0,1.88,0,0,0,0,1.8,1.48,3.66,0,0,0,3.97,0,0,0.59,0
 48-58,0,0,0,0,0,10.21,0.9,0,0,0,1.01,0.37,6.88,0,0,0,0,0,0,0,0
 60-70,0,0,0,0.66,0,1.65,0,0,0,0,0.66,0,10.74,0,0,0,3.66,0,0,0,0
 72-82,0,0,0,0,0,3.21,0.78,0,0,2.13,1.83,0,8.53,0,1.32,0,0,0,0,0,0
 84-94,0,0,0,0,0,2.74,0,0,0,0,1.07,0,3.61,0,0,0,0.57,0,0,0,0
 96-106,0,0,0,0.84,0,1.76,3.09,0,0.88,0,0,0,12.17,0,0,0,0,0,0,0,0.75
108-118,0,0,0,0.85,1.15,4.15,0,0,0,0,0,0,10.25,0,0,0,0,0,0,0,0
120,0,0,0,1.88,0,0,0,0,0,0,0,0,0,0,0,0,1.01,0,0,0,0
