stage,axial,blastomeres,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,26.6,159.55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,8.64,192.97,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,6.88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41.26,0,0,0,59.24,0,0,8.64,0,0,0,0,0,0,0,0
 14-21,0,0,0,9.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.83,0,0,0,0,0,0,1.23,1.13,0,0,0,0,0,0,0
 24-34,0,0,1.28,0.76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.12,0,0,0,58.14,0,0,0,0,0,0,0,0,0,2.85,0,0,0,0,0
 36-46,0,0,1.07,0,0,3,0,0,0,5.08,0,0,0,0,0,0,0,0,1.11,0,0,0,220.35,0,0,0,0,0,0,0,0,0,14.97,0,0,0,0,0
 48-58,0,0,0,0,0,20.31,0,0,0.76,6.83,0,0.94,0,0,0,0.51,1.61,0,13.46,0,0,0,550.66,0,0,0,0,0,0,0,0,0,39.39,0,0,0,0.78,0
 60-70,0,0,0.71,0.66,0,71.86,0,0,1.47,11.54,0,0,0.6,0,0,0,0,0,58.64,0,0,0,1423.65,0,0,9.91,0,0,0,0,0,0,113.54,0,0.94,0,0,3
 72-82,0,0,14.59,3.43,0,166.92,0,0,5.45,23.75,0.99,0,0,0,2.71,0,3.06,0,157.61,0,9.59,1.17,2070.3,0,0,6.69,0,2.35,8.79,0,0,0,163.11,0,8.32,5.2,6.54,3.34
 84-94,0,0,13.93,3.14,0,104.07,0,0,0,30.76,0,0,0,0,0,0,0,0,161.08,0,11.31,1.26,1546.78,0,0.6,1.22,0,2.32,7.23,0,0,0,85.63,0.9,17.12,0,0.78,0
 96-106,0,0,16.28,2.48,0,131.77,0,0.73,2.8,26.53,0,3.14,0,0.92,0.75,0,7.13,0,187.04,0,15.94,2.95,1442.2,0,0,1.43,0,9.73,3.98,0,0,0,60.38,1.13,0.72,0,2.29,11.18
108-118,0,0,15.48,5.34,0.57,97.79,4.79,1.88,0.61,27.81,0.74,3.23,0.98,0,0,0,4.68,0.51,211.1,0,15.74,1.85,2690.75,0,0,1.28,0,10.14,2.68,0,0,0,62.6,0,14.43,0,5.73,0
120,0,0,14.27,0,0,167.22,0,0,0,37.06,0,1.85,15.86,4.81,0,0,0,0,224.38,3.49,13.19,0,4816.16,4.31,0,1.61,0,19.63,2.98,0,0,15.28,103.04,0,9.4,0,0,0
