stage,epidermis,eye,fin.epithelia,glial,gut,immune,ionocyte,mesenchyme,neural,olfactory,otic,paraxial.mesoderm,spinal.cord
 14-21,0,0,0,0,0,0,0,0,3.3,0,0,2.97,2.83
 24-34,0,0,0,0,0,0,0,0,0.78,1.45,0,0,1.4
 36-46,0,0,0,1.5,0,0,0,0,7.38,0.93,0,0,1.18
 48-58,0,0,0,0,0,0,0,0,33.38,0.47,0.67,0,1.9
 60-70,0,0,0,0,0,0,0,0,22.32,1.12,0,0,0
 72-82,0,0.85,0,0,0.68,0,0,0,20.54,2.62,0,0,0
 84-94,0,1.69,0,0,2.6,2.2,0.86,0.97,16.3,0,0,0,0
 96-106,0,1.55,0,0,0.7,0,0,0,3.1,0,0,0,3.26
108-118,0,14.06,0,0,1.35,0.44,0,0.87,12.45,0.46,0,0,0
120,4.45,2.62,1.31,0,3.37,0,0,0,19.9,0,3.9,0,0
