stage,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,glial,gut,heart,immune,ionocyte,iridophores,lateral_line,mesenchyme,mural_cell,muscle,neural,otic,pericytes,periderm,pronephros,slow_muscle,spinal_cord,taste,vascular_smooth_muscle,visceral_smooth_muscle
  7-9,3.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,18.92,0,11.39,0,0.91,0,0,0,0,0,0,0,14.31,0,0,1.26,0,0,0,8.34,0,1.24,0,0,0
 24-34,0,10.77,0,41.27,0,2.29,1.21,0,0,0,2.27,0,0,8.99,0,1.23,11.12,0,0,0,9.92,0.69,2.9,0,0,0
 36-46,0,6.99,0,22.4,0,0,0,0,1.71,0,0,0,0,12.58,4.24,0,5.83,0,0,0,3.27,0,12.67,0,0,0
 48-58,0,12.05,0,33.95,0,0,0,0,1.37,0,0.79,0.98,0,9.28,4.24,0.94,29.3,0.52,0,0,0.93,1.43,6.9,0,0,0
 60-70,0,28.01,0,43.15,0.86,1.31,0.58,0,0,0,0,0,0.71,28.35,1.59,0,24.19,0,0,0,0,1.34,2.06,0.61,2.01,4.03
 72-82,0,20.17,0,59.79,0,0,0,1.48,0,0,0,0,0,27.14,8.7,4.39,48.62,0,2.5,0,2.23,3.1,11.34,0,8.18,20.49
 84-94,0,38.36,0,51.32,5.59,2.67,2,0,0,0,1.77,0,0,27.93,12.03,2.3,50.81,0,3.48,0,2.86,1.42,0,1.14,13.17,14.78
 96-106,0,36.22,2.02,69.32,2.65,1.16,3.96,0,0,1.07,1.56,0,0.58,27.49,15.02,0.56,36.28,0,9.71,1.39,0.82,2.65,6.14,0,9.67,37.21
108-118,0,23.09,0,51.76,2.91,4.65,3.42,0,0.93,0,3.99,0,0,46.5,7.02,1.08,45.58,0,1.82,0,6.81,2.45,0,0.43,9.11,41.67
120,0,12.11,0,45.67,0,0,0,0,3.84,0,0,0,0,23.74,0,0,70.43,0,18.55,2.69,11.74,0,0,0,8.4,55.16
