stage,epidermis,erythrocytes,eye,fin_mesenchyme,glial,immune,liver,mesenchyme,muscle,neural,notochord,olfactory,periderm,presomitic_mesoderm,somites,spinal_cord,vasculature,xanthophores
 14-21,2.64,0,1.26,0,0,0,0,0,0,5.21,0,0,0,0.83,0.82,0.9,0,0
 24-34,2.42,0,0,0,0,0,0,2.87,0,26.96,0,0.84,2.4,0,0,4.06,0,0
 36-46,0,0,4.07,0,0,0,0,0,0,20.42,0,0,1.4,0,0,7.47,0.9,0
 48-58,0,0,10.8,0,0.79,0,0,0.39,0,16.48,1.71,0,4.08,0,0,2.83,0,0
 60-70,0,0,20.51,0,11.12,0,0,0.59,0,28.53,0,0,0.65,0,0,5.2,0,0
 72-82,0,0,13.72,1.14,1.07,0,0,0.91,0,22.69,0,0,0,0,0,0.85,0,0
 84-94,0,0,3.18,0,0,0.94,0,1.46,0,12.41,0,0,0,0,0,2.54,0,4.81
 96-106,0,0,5.2,0,3.36,0,10.33,0.86,0.7,8.43,0,0,4.29,0,0,0,0,0
108-118,0,2.36,8.11,0,1.57,0,1.26,0.47,0,6.36,0,2.7,3.26,0,0,0,4.41,0
120,1.89,0,15.69,0,0,0,0,13.99,1.15,24.85,0,0,0,0,0,0,0,0
