stage,blastomeres,endoderm,epidermis,eye,glial,iridophores,liver,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pronephros,spinal_cord,vascular_smooth_muscle,vasculature,visceral_smooth_muscle
  3-4,40.16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,8.98,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,12.27,0,0,0,0,0,0,0,0,7.83,0,0,0,22.04,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0.82,1.53,0,0,0,0,0,0,0,0,0,0,0
 24-34,0,0,0,0,0,0,0,1.12,0,0,10.75,0,0,0,0,0,0,0,0,0,0,0
 36-46,0,0,0,0,0,0,0,0,0,0,34.85,0,0,0,0,0,0,0.65,0.77,0,0,0
 48-58,0,0,0,1.18,0,0,0,0.89,0,0.51,39.53,0,0,0,0,0,2.29,0,1.55,0,0,0
 60-70,0,0,0,1.79,0,1.16,0,8.83,0,0,32.48,0,6.22,0,0,0,0,2.51,0,0,0,0.85
 72-82,0,0,0,7.54,0,2.06,0,8.67,5.23,0.57,59.83,0,0,0,0,0,0,0,21.67,0,0,0
 84-94,0,0,2.3,8.96,0,0.87,0,2.52,3.16,0,42.98,0,0,0,0,0,1.48,0,0,0,0,8.18
 96-106,0,0,0,7.44,2.29,0,0.7,6.66,0,0.79,39.03,0.64,0,1,0,1.47,1.37,0,0,4.38,0.69,1.86
108-118,0,0,0,5.14,0,0,0,3.81,2.5,0,71.1,0,0,0,0,1.57,0,0,2.04,0.89,0,0.83
120,0,0,6.48,32.85,4.6,0,0,1.04,2.4,0,66.28,0,0,0,0,0,0,0,0,0,0,5.05
