stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,hatching.gland,ionocyte,liver,mesenchyme,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,9.45,296.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.57,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.31,92.49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.22,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,5.34,0,0,0,0,0,0,0,5.46,0,0,0,0,36.78,0,0,0,7.8,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,4.3,0,0,9.98,0,0,0,0,0,0,0,0,0,58.21,0,0,0,9.63,0,0,0,0,7.91,0,4.75,0,0,0,0,0,0
 14-21,0,0,0,0.83,1.35,1.72,0,0,0,0,0,2.45,0,0,5.83,24.67,26.15,0,0,0,0.85,0,0,0,9.25,0,661.12,2222.05,3.18,0,0,0,0,0
 24-34,0,0,0,0,0.8,0,3.01,98.11,0,0,0.94,0,0.61,1.41,2.24,79.43,115.92,7.07,0.9,1,0,0,13.72,0.86,2.43,0,108.72,1156.36,15.36,0,0,0,0,0.72
 36-46,0,0,0,0,0,0,2.28,65.27,0,0,0,0,0,0,10.4,19.37,22.29,0.55,0,0.8,0,0,3.15,0,0,0.62,22.18,47.08,2.69,0,0,6.28,0,0
 48-58,0,0,0.44,0,0,0,10.87,31.13,0,0.46,0.58,0,0,0.6,0.85,33.99,32.45,0,0,0,0,0,0,0,0,0,11.98,0.55,8.42,0,0.4,0.58,0,19.64
 60-70,0,0,0,0,0,0,6.45,43.48,0,0,0,0,2.84,0,2.78,13.79,37.48,0,0,1.52,0.81,1.13,0,0,0,0,8.94,0,1.56,0,0,0,0,0
 72-82,0,0,0,0,0,0,4.91,19.57,0,0,0.63,0,0,0.96,0.82,15.13,6.54,0,0,1.32,0,0,0,0,0,0,2.64,0,4.19,0,0,1.03,0,0
 84-94,0,0,0,0,0,6.81,1.1,22.49,0,0,1.88,0,0,0,5.82,37.11,2.54,0,0,6.44,0,0,0,0,0,0,1.46,0,0,1.53,0,0,0.91,0
 96-106,0,0,0,0,0.65,0,5.91,16.7,0.59,0,1.5,0,0,0,2.88,20,4.12,0,0,5.44,0,0,2.49,0,0,0,2.01,0,0,0,0,0,0,0
108-118,0,0,0,0,1.92,0,14.63,13.19,0,0,2.17,0,0,0,4.43,24.56,3.82,0,0,2.64,0,0,3.95,0,0,0,4.11,0,0,0,0,0,0,0
120,0,0,0,0,2.52,0,0,12.93,0,0,0,0,0,0,7.37,31.93,0,0,0,3.89,0,0,0,0,0,0,2.95,0,0,0,0,0,0,0
