stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,vasculature,visceral.smooth.muscle,xanthophores
  3-4,0,108.76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.57,0,0,0,0,0,0,0,0
  5-6,6.31,55.17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54.17,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,4.41,33.95,0,0,5.67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,608.42,15.08,0,0,122.39,0,0,34.03,0,0,18.78,0,0,0
 14-21,2.31,0,45.75,218,9.07,7.56,0,0,0,69.42,29.39,0,0,0,0,0,0,0,3.22,53.09,0,0,51.77,116,1.62,0,3.83,0,1.52,1.29,7.87,8.79,18.02,631.07,8.06,0,0
 24-34,0,0,14.59,97.61,0.67,5.22,0,0.73,0.84,87.25,6.59,0,4.21,0.98,0.72,0,0,1.95,7.74,59.92,0,0,77.33,375.09,2.9,11.19,15.35,0,0,0,0.93,12.08,7.37,597.91,27.5,0,0
 36-46,0,0,0,3.46,0,1.77,0,0.64,4.48,13.38,0,0,3.22,0,1.59,2.2,0,0,10.23,59.52,0,0.8,19.41,227.73,15.22,0,0,0,1.34,0,2.61,0.59,0,242.05,2.43,0,1.26
 48-58,0,0,0,3.78,0,4.15,0,7.04,4.27,7.7,0,0,0,0,0,0.56,0,0,3.5,42.06,0.64,0,5.6,121.42,0.44,0.75,0,0,0,0,0,0.45,0,67.94,0,0,0.8
 60-70,0,0,0,0,0,15.86,0,0,4.3,2.19,0,0,0,0,0,0,1.26,0,3.45,26.18,0.57,0.98,1.36,57.94,1.85,7.93,0,0,0,0,0,0,0,35.9,0,0,0
 72-82,0,0,0,1.41,0,32.65,0,2.09,4.13,9.81,0,0,0,0,0,0.73,2.6,0,0,41.29,0,0,4.7,35.19,0,0,0,0,0,0,0,0,0,12.97,2.61,0.76,0
 84-94,0,0,0,11.35,1.06,21.42,0,0,0.59,2.61,0.72,0.91,0,0,1.4,0,0,0,11.36,34.79,0,0,1.54,27.51,0.94,1.05,0,0,0,0,0.8,0,0,29.72,0,2.23,0
 96-106,0,0,0,2.59,0,13.27,1.45,1.49,2.67,0.59,0.7,0,0,0.89,0,0,0,0,0,22.67,0,0,9.46,33.33,3.46,5.12,0.56,0,3.11,0,0,0,0,9.48,2.22,0,0
108-118,0,0,0,3.51,0,12.45,0,0.69,4.91,7.62,2.86,0,0,0.67,1.34,0.63,0,0,3.03,19.72,0,0,3.36,39.68,0,0.45,0,0,0,0,0,0,0,2.96,0,0,1.31
120,0,0,0,9.43,0,15.63,0,0,0,10.01,0,0,0,0,1.25,2.11,0,0,0,26.47,0,0,0,56.61,3.51,0,0,0,0,0,0,0,0,0,1.56,0,0
