stage,eye,glial,ionocyte,mesenchyme,neural,periderm,presomitic.mesoderm,spinal.cord
 14-21,0,0,0,0,1.69,0,1.64,1.46
 24-34,0,0,0.7,0,9.74,0,0,1.61
 36-46,0,0,0,0,7.23,1.44,0,0
 48-58,1.7,0,0,0,4.49,0,0,0.91
 60-70,0,0,0,1.74,2.64,0,0,0
 72-82,3.14,0.89,0,1.73,0.79,0,0,0
 96-106,6.55,0,0,0,0,0,0,0
120,0,0,0,0,12.11,0,0,0
