stage,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pronephros,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,231.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,50.22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,3.78,0,0,0,0,0,0,0,0,0,0,19.16,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,10.85,0,5.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.19,0,0,0,5.85,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,6.2,0,0,0,0,0,0,0,0,0,0.86,0,0,0,0,0,0,0,6.33,0,0,0,0,0,2.1,0,0.86,0,0,0,0,0,0
 24-34,0,0,0,1.76,0,2.14,0.82,0,0.62,0,0,0,0,0.69,0,0,0,1.98,0,0,0.73,27.27,0,0,0,0,0,2.18,1.06,0,4.5,0,0,0.73,0,0
 36-46,0,0,0,1.24,0,0.63,2.55,0,0.98,0,1.09,0,0,0.6,0,0.6,0,1.4,0,0,0.83,30.54,0,0,0,0,0,2.57,0,0,3.85,0,0,2.01,0,0
 48-58,0,0,0,0,0,4.38,0,0,2.75,1.42,0,0,0,0.77,0,0,0,7.49,0,0,5.86,66.25,1.42,0.41,0.64,0,0,7.98,0,0,8.97,0,0,2.16,0,1.32
 60-70,0,0,0,1.39,0,13.2,0,0,2.29,0.96,0,0.93,0,0,0.93,1.39,0,15.58,0.58,0,1.59,79.44,0,1.98,0,0,0.96,0.88,0,0,8.87,0,0,7.54,0,0
 72-82,0,0,0,5.24,0.55,22.09,2.6,0,0.96,0.53,0,0,1.17,2.85,0.9,1,0,8.06,0.96,9.53,0,81.14,0,1.27,1.07,0,0,6.19,6.65,0,0.6,0,0,2.83,0,0
 84-94,0,0,0,5.89,0,9.87,2.44,1.38,3.29,0.96,0,0,1.59,4.12,0,4.61,0,12.08,2.03,2.96,0,29.63,0,0,2.01,0,0.6,10.62,4.8,0,0.84,0.71,0,2.3,0,0.64
 96-106,0,1.43,0,1.19,0,11.22,1.68,6,0,0.7,1.32,0,4.33,4.79,0.6,0,8.71,11.25,0,0.57,2.26,23.75,0.71,1.92,0.77,0,0,7.96,1.05,0,0,1.68,1.51,1.81,3.53,0
108-118,0,2.35,0,3.76,0,2.86,0,0,2.94,2,0,0,2.3,5.88,0.46,2.46,0,8.57,6.28,0,0,47.18,0,3.05,7.57,0,0,12.35,0,0,6.21,0.9,0,5.28,0,1.43
120,0,0,0,1.79,0,5.73,0,0,1.56,1.73,0,0,1.88,4.96,8.35,0,0,21.85,0,4.29,0,61.03,4.72,10.58,5.88,0,0,5.63,2.43,0,0,0,0,0,0,0
