stage,axial,blastomeres,epidermis,erythrocytes,eye,fin_epithelia,glial,gut,immune,iridophores,lateral_line,liver,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pronephros,slow_muscle,somites,spinal_cord,vascular_smooth_muscle,vasculature,xanthophores
  3-4,11.48,10.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.3,77.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,5.44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.96,0,0,5.53,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,4.46,0,0,0,0,0,0,0,0,0,0,0,11.87,0,0,0,7.88,0,0,0,0,0,0,0,0,0
 14-21,0,0,0.94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.84,6.52,0,0,0
 24-34,0,0,0,0,1.35,0,0,0,0,0,0,0,0,0,0,0,10.53,0,3.32,0,0,0,0,0,0,0,6.43,0,0.93,0
 36-46,0,0,0,0,20.77,0,2.47,0,0,0,0,0,0.88,0,0,0,38.67,0,0.6,0,0,0,0,0,0,0,13.53,0,0,0
 48-58,0,0,1.4,0,118.68,0,2.56,0,0,0,0,0,2.6,0,0,0.62,67.39,0,0.99,0,0,0,0,0,0,0,21.42,0,0,0
 60-70,0,0,0,0,706.81,0,20.54,0,0.65,0,0,9.86,0.6,0,0,0,71.38,0,0,0,0,0,0,0,0,0,22.34,0,0,0
 72-82,0,0,6.11,0,1290.45,0.62,56.81,0.72,0,0,0,0,5.36,0,0,0,89.48,0,1.28,1.21,0,0,3.49,0,0,0,30.8,0,0.94,4.43
 84-94,0,0,1.91,0,1150,0,33.18,0,0,0,1.05,0,1.84,2.05,3.34,0,62.15,0,3.65,0,0,0.6,0.65,0,0,0,9.52,0,0,0
 96-106,0,0,1.94,0.68,1148.18,0,48.19,1.73,1.28,2.94,0,1.56,8.51,0,0,0.59,72.33,0,2.72,1.69,0,0,8.6,1.12,0.6,0,0.6,0.77,5.44,0
108-118,0,0,4.02,1.75,938.84,0,42.24,0.77,0,0,3.13,0,8.05,0,0,0.77,99.1,0,0,0,0,0,0.56,0,0,0,2.17,0,0,3.32
120,0,0,6.56,0,1142.03,3.55,28.47,0,6.6,5.27,0,3.79,9.07,6.27,0,0,228.46,0,0,0,0,0,0,0,0,0,8.94,0,0,0
