stage,blastomeres,endocrine.pancreas,epidermis,exocrine.pancreas,fin.epithelia,fin.mesenchyme,glial,gut,immune,mesenchyme,neural,presomitic.mesoderm,spinal.cord
  5-6,38.04,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,5.43,0,0
 14-21,0,0,0,0,0,0,0,0,0,0.91,0,0.81,0
 36-46,0,0,0,0,17.53,0,0,0,0,1.67,9.82,0,1.13
 48-58,0,0,0,0,0,0,1.05,0,0,0,0.93,0,0.89
 60-70,0,0,0,0,0,1.49,0,0,0,3,0,0,0.8
 72-82,0,0,0,0,0,0,0,0,0.67,0,0,0,0
 84-94,0,1.33,0,0,0,0,0,0,0,0,0,0,0
 96-106,0,0,0,0,0,2.3,0,0,2.23,2.03,0,0,0
108-118,0,0,0,0,0,0,0.64,0.51,1.68,5.76,4.23,0,0
120,0,0,12.03,1.58,0,0,0,0,0,22.25,0,0,0
