stage,epidermis,erythrocytes,exocrine_pancreas,eye,fin_epithelia,glial,gut,hatching_gland,heart,ionocyte,iridophores,lateral_line,liver,mesenchyme,muscle,neural,notochord,olfactory,otic,periderm,spinal_cord,taste,vasculature,visceral_smooth_muscle,xanthophores
 14-21,0,7.44,0,0,0,0,0,0.95,0,0,0,0,0,0.83,0,8.88,0,0,0,3.32,1.17,0,0,0,0
 24-34,0,0.71,0,0.62,0,0,0,0,0,0.63,0,0,0,0,3.87,18.27,0,0,0,2.73,0.86,0,0,0,0
 36-46,0,0.67,0,0,0,0,0,0,0,0,0,0,0,2.29,0,18.13,0,0,0,0,5.07,0,0,0,0
 48-58,0,2.95,0,14.67,0,2.97,0,0,1.23,0,0,0,0,5.33,0.38,9.79,0.75,0.89,0,6.9,0.51,0,0,0,0
 60-70,3.31,12.03,0,12.1,4.06,7.41,0,0,0,0,0,0,1.72,1.15,0,7.47,0,4.77,0,5.97,0,0,0,0,0
 72-82,0,8.19,0,15.4,0,0.83,3.43,0,0,0,0,0,1.03,0,0.9,0.88,0,0,1.73,0,0,0,6.92,0,3.07
 84-94,0.6,12.81,0,21.66,0,0,0,0,0,1.66,0,0.66,0,3.56,0,11.54,0,0,5.05,0,0,0,0,0,0
 96-106,0,0,0,4.8,0,0,0,0,0,0,0.58,0,2.32,0,0.93,6.62,0,0,0,5.59,0,0,0,0,0
108-118,0.96,15.5,0.55,7.74,0,0.77,1.91,0,0,0.41,0,0,0,1.44,0,19.77,0,0,0.87,0,0,0.54,0.69,1.05,0
120,0,4.23,0,10.59,0,7.8,3.61,0,0,0,0,0,0,0,0,13.06,0,8.23,0,0,0,0,0,0,0
