stage,erythrocytes,eye,fin.mesenchyme,glial,immune,ionocyte,iridophores,lateral.line,mesenchyme,muscle,neural,notochord,olfactory,otic,periderm,pronephros,spinal.cord,vascular.smooth.muscle,vasculature
 14-21,0,0,0,0,0,0.9,0,0,0,0,0,0,0,0,0,0,1.88,0,0
 24-34,0,0,0,0,0,3.23,0,0,0,0,0,13.42,0,2.91,0.64,0,1.89,0,0
 36-46,0,0,0.62,4.96,0,0,0,0,0,0,1.21,14.29,1.25,0,0,0,2.55,0,0
 48-58,0,0,0,0.39,0,0,0,0,1.84,0.5,8.23,37.13,1.33,0,0,0,0.82,0,2.16
 60-70,0,8.41,0.83,0,0,0,0,0,3.14,0,2.91,31.62,0,0,0,0,0,0,2.88
 72-82,0.68,22.62,0,1.54,0,1.49,0,0,27.32,0,4.4,13.98,0,0,1.57,0,6.26,0,1.38
 84-94,0,16.03,0,0,0.78,0,0,0,32.27,0,1.81,19.28,0.79,0,0,0.62,0,0,2.09
 96-106,0,24.97,0,0,0,0,0,0,13.51,1.47,1.01,21.99,1.93,0,0,0,0,0,11.68
108-118,0,24.45,0,0,0,0,5.15,0.48,27.26,1.15,4.13,22.72,0,2.77,0,0,0,1.52,9.7
120,0,35.7,0,0,0,0,0,0,5.06,0,17.25,33.24,0,0,0,0,0,0,3.72
