stage,blastomeres,erythrocytes,eye,fin_epithelia,muscle,neural,vasculature
  3-4,9.56,0,0,0,0,0,0
 10-12,0,0,0,0,0,3.35,0
 14-21,0,0.9,0.9,0,0.94,11.87,0
 24-34,0,0,0.68,0,0,3.82,0.73
 36-46,0,0,0,0,0,1.32,0
 48-58,0,0,0,0.49,0,0,0
 72-82,0,0,4.61,0,0,0,0
108-118,0,0,0,0.95,0,0,0
