stage,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fin.epithelia,fin.mesenchyme,glial,immune,ionocyte,mesenchyme,mucous,muscle,neural,olfactory,otic,periderm,somites,spinal.cord,vasculature
 14-21,0,0,2.78,0,1.25,0,0,0,0,0,0,0,0,1.46,1.37,0,0,3.01,1.3,0
 24-34,0,0.7,0.61,0,0.99,0,0,0.65,0,0,4.04,0,0,0.64,0,0,0,0,0,4.54
 36-46,0,0,0.66,0,0,0,0,0,0,0,0,0,0,2.55,0,6.74,0,0,0,0
 48-58,0,0,0,0,8.43,0,0,1.89,9.15,0,0,0,0,0,0,0.51,0,0,0.86,0
 60-70,0,0,0,0,0,0,0,0,1.78,0.71,0,0,4.9,1.28,0,0,0,0,1.22,0
 72-82,0.69,0,0,1.45,1.5,0,0,0,3.39,0,4.06,0,0,1.29,0,0,0,0,0,0
 84-94,0,0,0,0,6.66,0,0,1.99,5.95,0,0,1.21,0,0,0,0,0,0,0,0
 96-106,0,0,0,3.59,0,0,0,0,13.04,0,5.34,0,0,0,0,0.8,0.72,0,0,0
108-118,0,0,1.2,0.52,0,0,0,0.54,11.32,0,1.82,0,0,1.31,0,0,0.42,0,0,0
120,0,0,0,1.9,7.12,2.41,9.33,0,13.62,0,0,0,0,0,0,0,1.39,0,0,0
