stage,epidermis,eye,fin.epithelia,glial,gut,liver,mesenchyme,muscle,neural,paraxial.mesoderm,periderm,spinal.cord,xanthophores
 14-21,0,0,0,0,0,1.16,0,0,5.54,1.33,0,0.98,0
 24-34,0.66,1.4,0,0,0.74,0,0,0.8,15.57,0,0.75,7.71,1.72
 36-46,11.15,0.64,0,1.52,0,0,0.74,1.59,18.5,0,9.7,0,0
 48-58,0,0.42,0,3.39,0,0,1.03,0.58,8.08,0,0,2,0
 60-70,4.06,0,0,0,0,0,0,0,0,0,0,1.73,0
 72-82,0.49,0.53,0,0.52,0,0,0,0,0,0,1.88,0,0
 84-94,0.57,0,0,0,0,0,2.1,1.13,0,0,0,0,0
 96-106,0,0,0.89,0,0,0,1.99,0,2.6,0,0,0,0
108-118,1.93,0.67,0,0.96,0,0,0,0,6.92,0,0,0,0
120,2.96,0,0,0,0,0,5.4,0,0,0,0,0,0
