stage,axial,blastomeres,endoderm,epidermis,eye,fin_epithelia,gut,heart,immune,iridophores,mesenchyme,mural_cell,muscle,neural,notochord,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,somites,spinal_cord
  3-4,10.58,77.79,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,23.2,194.46,0,0,0,0,0,0,0,0,0,0,0,6.08,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,5.18,0,0,0,0,0,0,0,0,103.34,9.3,0,59.35,0,0,0,0,0,0
 10-12,0,0,6.06,0,11.39,0,0,0,0,0,0,0,0,53.47,0,0,20.3,0,0,0,0,0,0
 14-21,0,0,0,1,0.81,0,0.92,0,0,0,0,0,0,6.3,0,0,0,0,0.91,3.48,0.85,0,1.9
 24-34,0,0,0,0,0,0,0,0,0,0,1.32,0,0.99,4.07,0,0.71,0,0,0,0,0,0.75,0.95
 36-46,0,0,0,0,0.65,0,0,0,0,0,0,0.68,0,1.9,0,0,0,0,2.74,0,0,0,1.3
 48-58,0,0,0,0,2.57,0,0,0.67,1.02,0,1.56,0,0.44,3.58,0,0,0,0.59,0,0,0,0,1.85
 60-70,0,0,0,0,13.23,0,0,0,0,0,1.37,0,0.88,6.43,0,0,0,0,0,0,0,0,0
 72-82,0,0,0,0,6.05,0,0,0,0,0,3.54,0,0,1.3,0,0,0,0,0,0,0,0,0
 84-94,0,0,0,0,4.37,0,0,0,0,0,1.18,1.32,0,7.07,0,0,0,0,0.69,0,0,0,0
 96-106,0,0,0,0,0.7,0,0,0,1.08,0,0,0,0,0,0,0,0,0,1.98,0,0,0,0
108-118,0,0,0,0,9.06,0.66,0,0,0,0.9,0,0,0,0,0,0,0,0,2.2,0,0,0,0
