stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,glial,gut,hatching.gland,heart,immune,liver,mesenchyme,muscle,neural,notochord,paraxial.mesoderm,periderm,pgc,presomitic.mesoderm,pronephros,somites,spinal.cord
  3-4,0,37.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,8.83,363.08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.77,6.81,0,0,0,0,0
  7-9,33.15,22.02,20.27,0,0,167.05,0,0,24.59,0,0,0,0,0,795.29,42.35,297.58,5.5,3.47,0,13.28,0,0
 10-12,0,37.81,35.16,0,0,81.78,0,0,47.68,0,0,0,0,0,842.17,32.04,246.64,0,0,4.61,25.8,3.11,3.51
 14-21,0,0,0,4.58,0,0,0,0,0,0,0,0,3.77,0,4.11,0,0,0,0,0,0,0.82,0
 24-34,0,0,0,0,0,1.8,0,0,0,0,0,0,0,0,4.9,0,0,0,0,0,0,0,0
 36-46,0,0,0,0,0,2.18,0,0,0,0,0,0.57,0.95,0,1.21,0,0,0,0,0,0,0,1.24
 48-58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.05,0,0,0,0,0,0,0,0.62
 60-70,0,0,0,0,0,0,1.06,6.47,0,0,0,0,2.63,0,0,0.63,0,0,0,0,0,0,0
 72-82,0,0,0,0,0,0.62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 84-94,0,0,0,0,0,0,0,0,0,0,0,0,0.6,0.77,1.92,0,0,0,0,0,0,0,0
 96-106,0,0,0,0.98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
108-118,0,0,0,0,0,0,0.52,0,0,0,0,0,0.61,0,0.93,0,0,0,0,0,0,0,0
120,0,0,0,0,2.93,0,0,0,0,2.63,2.09,0,4.37,0,0,2.55,0,0,0,0,0,0,0
