stage,axial,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,immune,ionocyte,iridophores,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,xanthophores
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,4.67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48.55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,1.01,0,3.02,0,0,0,0,1.42,0,0,1.83,1.59,21.07,11.7,0,0,46.64,405.78,0.89,0,0,0,0,0,8.47,0,0,38.69,39.68,0,0,0,211.87
 24-34,0.88,9.75,0,12.92,0,0,0,5.64,0,0,0.69,5.4,0,26.74,74.92,0,0,130.35,1536.08,1.63,0,0,0,0,1.93,0,0,0,13.6,99.06,0,0,3.3,441.45
 36-46,0,4.16,0,12.04,0,0,0,82.77,0,0,0,16.82,0,0,152.4,0,0,80.5,1759,0,0,1.06,0,0,2.04,0,4.89,0,0,187.47,0,0,0.77,201.85
 48-58,0,13.13,0,74.97,0.37,7.04,6.5,140.81,0,0.98,0.37,4.18,0,5.09,136.63,0,0.43,52.09,1840.39,1.16,1.37,0.81,0,0,1.46,0,1.24,0,0,127.26,0,0.84,0.41,194.84
 60-70,0,2.55,0,50.73,0,14.37,0,141.3,1.75,0,0,21.99,0,0,128.58,2.68,0,45.52,2239.29,0,0,0,0,1.9,2.77,0,1.06,4.65,0,32.89,0,0,0,166.49
 72-82,0,11.62,1.09,102.95,2.43,0,0,68.73,0,0.49,0.56,5.87,0,5.98,113.88,0,0,53.91,1633.39,0,1.29,0.75,1.13,1.05,0,0,0,0,0,11.59,0,0,3.25,113.53
 84-94,0,4.98,1.87,129.47,0,0,0,87.15,0,3.11,0,16.17,0,0,101.3,0,1.89,56.57,1161.81,0,0,1.62,0,0,12.35,0,2.61,0,0,26.22,0,0,1.22,109.65
 96-106,0,11.4,4.25,101.54,0,0.59,1.02,53.95,0,0.97,0,27.66,0,0,104.16,0,0,28.39,894.56,0,1.34,0,0,0.79,2.81,0,0.78,0,0,6.06,5.98,0,0,101.39
108-118,0,2.36,0,47.91,0.44,4.31,0.87,96.84,0.89,0,0,82.08,0,0,116.58,0,4.65,30.12,1172.97,0.77,2.05,0,0,3.32,1.56,0,0.81,0.66,0,1.14,0,1.12,2.16,154.79
120,0,6.01,0,84.35,0,0,6.63,104.95,0,2.27,0,75.54,0,0,97.39,0,0,38.86,1137.7,0,0,0,0,0,3.71,0,0,0,0,0,0,0,2.19,59.26
