stage,axial,blastomeres,epidermis,erythrocytes,eye,fin.mesenchyme,glial,gut,ionocyte,lateral.line,liver,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,periderm,spinal.cord,vascular.smooth.muscle,vasculature
  5-6,0,7.93,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.02,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17.08,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,0,1.05,1.98,0,0,0,1.81,0,0
 24-34,0,0,0,0,0.62,0,0,0,1.94,0,0,0,0,0.69,9.63,0,0,0,3.06,0,0
 36-46,0,0,0,0,0,0,1.48,0,0,0,0,0,0,0,1.26,0,0,0,0,0,0
 48-58,0,0,0,0,5.05,0,0,0,0,0,1.42,0.39,0,0,5.31,0,0,0,2.14,0,1.23
 60-70,0.81,0,0,0,0,0,0,0,0,0,0,2.49,0,0,0,0,0,0,0,0,0
 72-82,0,0,0,1.25,1.56,1.05,0.77,0,0,0,0,2.6,0,0,8.45,0,0,0,2.06,0,0
 84-94,0,0,1.19,2.84,5.19,0,0,0.71,0,0,0,1.04,1.32,0,2.86,0,0,0,0,0,0
 96-106,0,0,0,3.02,0,0,0,1.48,0.9,0,0,0.84,0,0,1.18,0,0,1.25,0,0,0
108-118,0,0,0.55,0,0.65,0,3.05,0,0,0.7,0,0,0,0,1.45,0,2.57,0,1.26,0,0
120,0,0,0,0,2.61,0,0,0,0,0,0,0,0,0,9.39,0,0,0,0,2.71,0
