stage,axial,blastomeres,epidermis,eye,glial,immune,mesenchyme,muscle,neural,notochord,olfactory,paraxial_mesoderm,periderm,pronephros,spinal_cord,taste,visceral_smooth_muscle
  5-6,11.97,13.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,9.62,0,0,11.5,0,0,0,0,0
 10-12,0,0,0,3.27,0,0,0,0,23.57,13.93,0,10.09,0,7.07,0,0,0
 24-34,0,0,0,0,0,0,0,0,5.44,0,0,0,0,0,0,0,0
 36-46,0,0,0,0,0.61,0,0,0,5.05,0,0,0,2.55,0,1.1,0,0
 48-58,0,0,0,4.88,1.96,0,0,0.4,12.77,0,0,0,0,0,0,0,0
 60-70,0,0,0,3.31,0,0,0,0,5.57,0,0,0,0,0,0,0,0
 72-82,0,0,0,5.25,1.39,0,0,0,2.63,0,2.35,0,0,0,0,0,1.39
 84-94,0,0,0,2.8,0,0.67,0,0,1.7,0,0,0,0,0,0.65,0.57,0
 96-106,0,0,0.67,4.74,0,0.6,0,0,0.71,0,0,0,0,0,0,0.69,0
108-118,0,0,0,0,5.21,0,0,0,1.88,0,0,0,1.08,0,0,0,0
120,0,0,0,4.13,0,4.1,3.11,0,8.11,0,0,0,0,0,0,0,0
