stage,epidermis,erythrocytes,eye,fast.muscle,fin.mesenchyme,glial,gut,heart,lateral.line,melanocytes,mesenchyme,mural.cell,muscle,neural,olfactory,otic,paraxial.mesoderm,periderm,pronephros,slow.muscle,somites,spinal.cord,vasculature,visceral.smooth.muscle
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,15.06,0,0,8.46,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,3.27,0,0,0,0,5.27,0,0,0,0,0
 14-21,0,1.23,0,0,0,0,0,0,0,0,0,0,1.37,16.33,0,0,0,0,0,1.94,2.59,2.06,1,0
 24-34,0,0,1.81,0,0,0,0,0,0,0,1.69,0,1.25,22.11,0,0.82,0,0,1.25,0,0,3.89,7.35,0
 36-46,0,0,2.1,0,0,0,0,0,0,0,4.1,0,1.35,44.17,0,0,0,0,0,0,0,6.17,0,0
 48-58,0,0,13.95,0,1.52,0.65,0,0,0,0.83,3.27,0,6.11,44.06,0.91,0.4,0,0,0,0,0,9.65,1.24,0
 60-70,0,0,41.18,1,0,2.63,0,0,0,0,8.92,0,0,44.63,1.15,2.6,0,0,0,0,0,5.35,0.92,0
 72-82,0,0,35.56,0,1.98,7.53,0,1.08,0,0,4.99,0,2.84,48.87,1.81,0.54,0,0.51,0,0,0,2.75,0.79,0
 84-94,2.59,0,27.73,0,0,0.69,0,0,2.31,0,4.04,0,0,19.78,0,0,0,5.76,0,0,0,0,0.93,0
 96-106,0,0,12.63,0,0,3.17,0,0,0,0,3.13,2.13,0,6.66,0,3.14,0,0,0,0,0,0,8.11,0.83
108-118,0,0,10.97,0,0,2.66,0.94,0,0,0,13.18,0,0,31.92,0,0,0,0,0,0,0,1.92,0,0
120,0,0,33.6,0,0,0,0,0,0,0,10.35,0,0,55.57,14.18,1.02,0,0,0,0,0,0,22.94,6.73
