stage,blastomeres,eye,fin.mesenchyme,glial,neural,paraxial.mesoderm
  3-4,10.18,0,0,0,0,0
  7-9,0,0,0,0,0,6.01
 14-21,0,0,0,0,1.86,0
 24-34,0,0.78,1.02,0,0,0
 36-46,0,0,0,0,0.95,0
 48-58,0,0,0,0,2.44,0
 60-70,0,0,0,0,6.09,0
 72-82,0,6.5,0,1.97,0.96,0
 84-94,0,3.69,0,0,5.53,0
 96-106,0,4.06,0,0,6.88,0
108-118,0,6.31,0,0,3.03,0
120,0,22.28,0,4.5,0,0
