stage,endocrine_pancreas,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
 14-21,0,5.23,3.88,0,0,0,0,0,0,2.5,2.12,0,0,0,0,0,1.59,0,1.44,0,0,0,15.93,0,0,0,0,43.77,0.9,3.42,0,1.03,7.19,28.37,0,0,4.74,0,0
 24-34,0.67,2.67,0.62,0,6.27,0,0,0,0,0,0,0.62,1.85,1.32,0,0,0.94,1.35,11.09,0,0,3.26,147.69,1.31,3.86,0,0,75.97,0,0,1.94,0,3.48,55.89,0,0,27.21,0,0
 36-46,0,10.41,3.51,0,48.89,0,1.39,0.82,4.59,0,0,0.56,0,0,1.88,0.57,0,33.64,4.78,2.49,0,7.97,332.92,3.52,3.92,0,0,107.47,0,0,3.02,0,0,78.3,0,0,9.29,0,1.28
 48-58,0.54,9.14,16.96,0,112.49,0.62,4.02,1.87,10.62,1.26,0,0.67,0,0,0.78,0,3.89,6.28,20.4,0.52,0,1.83,479.49,5.84,1.08,8.8,0,90.71,0,0,1.04,0,0,58.04,0,0,12.93,0,17.05
 60-70,0,12.98,19.98,0,270.49,1.4,2.22,0,45.46,1.52,0,0.58,0.6,0,8.58,2.97,5.38,20.36,16.13,0.65,0,0,693.11,2.16,3.09,3.64,0.84,59.96,0,1.38,5.59,0,0,80.01,0,0,11.69,0,3.77
 72-82,1.66,8.9,138.16,0,340.47,1.85,1.55,2.32,44.45,3.04,0,5.47,11.39,0,15.67,0.65,0.76,3.49,46.15,0.95,0.81,9.78,631.67,1,9.74,3.38,0,45.71,0,0,3.04,0,0,37.57,0.97,0,27.61,0,11.59
 84-94,0,12.09,134.24,0,277.99,3.59,0.63,0.91,27.55,3.37,0,0,2.26,0.56,6.12,0,0,5.55,36.09,0,0,4.72,416.25,3.17,2.33,0.71,0,126.15,1.4,0,3.38,1.43,0,33.1,5.57,0,30.02,0,2.43
 96-106,1.96,13.69,116.04,0,293.12,0.64,0,0,48.97,4.27,0,3.45,9.58,1.49,1.8,0.86,0,1.79,38.64,0.71,9.24,7.41,272.04,3.59,8.67,5.15,0,129.67,0,0,1.53,0,0,15.04,0,2.1,23.06,0.65,18.84
108-118,0,17.07,55.29,4.6,276.87,1.12,2.38,0,57.76,6.13,0,0,6.94,1.03,16.56,1.44,5.32,13.68,40.46,7.11,0.83,10.91,420.51,0.56,4.45,1.31,0,103.25,0,0,1.95,0,0,4.42,3.42,0,33.77,1.93,24.87
120,0,30.47,77.26,1.61,238.54,3.88,2.78,1.44,38.34,7.39,0,0,3.87,1.61,1.91,1.77,0,2.89,63.18,0,0,11.49,471.44,1.42,1.54,13.79,0,84.82,0,0,0,0,0,5.28,0,0,62.25,13.25,9.68
