stage,epidermis,erythrocytes,eye,glial,immune,iridophores,lateral.line,melanocytes,mesenchyme,muscle,neural,notochord,otic,paraxial.mesoderm,pgc,spinal.cord,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  7-9,0,0,0,0,0,0,0,0,0,0,10.99,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,33.02,0,0,19.97,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,20.34,0,0,0,0,3.02,0,0,0,4.76
 24-34,0,0,1.66,22.85,0,0,0,0.66,12.25,3.99,130.47,0.71,0,0,0,41.98,0,2.54,0,4.39
 36-46,0.6,0,0,104.18,0.67,2.22,0,0,23.1,4.78,154.67,0,1.27,0,0,106.95,0,0.82,0,4.51
 48-58,0,0,8.93,160.01,0,0,0,0,11.49,4.57,144.37,0,0,0,0.65,137.93,0,1.8,0,4.48
 60-70,1.15,0,16.79,242.46,2.21,3,0,5.76,21.19,1.23,77.1,0,0.69,0,0,117.86,0,0,0,1.77
 72-82,0.49,1.48,15.79,192.16,1.1,0.65,0,0,26.88,0,51.73,0,1.82,0,0,50.57,0.75,0,0,0
 84-94,0,0,21.33,177.44,0.56,4.17,0,0.56,35.29,1.4,61.5,0,4.67,0,0,16.06,0,0,0,13.1
 96-106,0,0,7.75,168.69,4.74,0.63,0,0,27.52,1.42,50.06,0,0,0,0,18.38,0,0,0,0.58
108-118,0,0,20.77,168.23,2.11,1.67,0,0,28.95,0,34.44,0,2.63,0,0,6.58,3.84,0,1.05,3.68
120,0,0,7.81,298.26,13.83,0,1.69,0,15.74,0,89.48,0,4.64,0,0,14.95,0,0,0,0
