stage,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,heart,immune,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,slow_muscle,somites,spinal_cord,vascular_smooth_muscle,vasculature,visceral_smooth_muscle
 14-21,1.41,0.85,0,0,0,0,0,0,0,0.9,0,0,0.91,3.28,0,0,1.44,0,1.08,0,3.25,0,0,0
 24-34,0,0,0,0,0.82,0,0,0,0,10.31,0,5.05,1.89,9.29,0,0,0,0,0,1.16,0.83,0,0,0
 36-46,0,0,0,0,0,0,0,0.87,0,9.36,0,2.81,0,16.72,0,0,0,0,0,0,1.55,0,0,0
 48-58,0,0,0,0,0,0,0.96,0,0,29.54,0.54,5.19,1.32,9.02,0,0,0,0,0,0,0,0,0,0
 60-70,0,0,0,0,0,0,0,0,0,76.74,0,0.79,17.44,13.29,0,1.03,0,1.06,0,0,0,5.1,1.1,0
 72-82,0,0.5,0.65,0,0,3.29,2.18,0.9,0,77.91,0,5.8,6.8,6.88,0,0.56,0,0,0,0,0,0,1.24,0
 84-94,0,0,1.25,1.27,0,3.75,2.89,3.47,0,78.47,0,0,0,0.72,0,0,0,0,0,0,0,0,0,0.98
 96-106,0.6,0,0,0,2.75,0.64,0,0,0,40,0,0,2.63,1.52,0,0,0,0,0,0,0,0,0,0.68
108-118,0,0,0.98,0,0,0,0,0,0,35.74,0,0,0.47,0,2.8,6.75,0,0.51,0,0,0,0,0,0
120,0,0,0,0,0,0,0,0,3.52,43.92,0,0,1.92,2.01,0,0,0,0,0,0,0,0,0,0
