stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fin.epithelia,fin.mesenchyme,glial,hatching.gland,immune,ionocyte,liver,mesenchyme,mucous,mural.cell,muscle,neural,notochord,paraxial.mesoderm,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,vascular.smooth.muscle,vasculature,xanthophores
  5-6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27.72,0,0,0,0,0,0,0,0,0,0,0
  7-9,6.48,6.62,13.48,0,0,0,0,0,0,6.04,0,0,0,0,0,0,0,0,3.27,299.53,0,0,0,0,0,0,0,0,0
 10-12,0,3.64,41.32,0,11.87,0,0,0,0,11.1,0,0,0,0,0,0,0,15.06,0,461.65,0,0,71.36,0,13,0,0,0,0
 14-21,0,2.71,0,1.02,58.19,5.14,0,0,0,0,0,0,0,8.21,0,0,1.51,0.97,0,2.69,0,55.3,0,2.74,35.92,1.24,0,7.8,0
 24-34,0,0,0,0.86,9.47,15.14,0,10.61,0,0,0,0,0,11.38,0,0,13.93,19.23,1.66,0,0,0,0,0,42.05,3.95,0,2.83,0
 36-46,0,0,0,0,0,25.84,5.07,5.95,0,0,0,0,0,11.48,0,0,6.38,2.52,0,0,0,0,0,0,0,5.15,0,0,0
 48-58,0,0,0,2.7,0,78.45,0,0.56,0,0,0,0,0,15.17,0,0,2.17,30.1,0,0,0,0,0,0,0,8.1,0,0,0
 60-70,0,0,0,0,0,246.85,1.01,3.16,0,0,0,0,0,14.82,0,0.69,1.27,6.37,0,0,1.26,0,0,0,0,5.64,0,0,0
 72-82,0,0,0,0,0,256.35,3.48,9.02,0.58,0.67,0,0,0,10.25,0,0,1.97,2.19,0,0,0,0,0,0,0,2.51,0,0,8.88
 84-94,0,0,0,2.25,0,261.46,0,6.74,1.73,0,0,0.73,0,13.35,0,0,1.97,13.28,0,0,0,0,0,0,0,0,1.28,0,0
 96-106,0,0,0,3.71,0,198.42,1.17,1.09,0,0,1.21,0,0,4.59,0,0,0.79,13.24,0,0,0,0,0,0,0,0,0,0,0
108-118,0,0,0,0.88,0,261.77,0.67,0.57,5.86,0,0,0,2.34,7.85,0,0,0,5.8,0,0,3.94,0,0,0,0,0,0,1.43,0
120,0,0,0,2.22,0,425.17,4.88,5.18,0,0,1.06,0,0,0,1.47,0,1.66,10.46,0,0,0,0,0,0,0,0,0,0,0
