stage,endocrine.pancreas,erythrocytes,fast.muscle,immune,ionocyte,melanocytes,mesenchyme,mucous,periderm,presomitic.mesoderm,spinal.cord
  7-9,0,0,0,0,0,0,0,0,23.04,0,0
 14-21,0,0,0,0,0.96,0,0,0,0,1.02,0
 24-34,0,0,0,2.7,0,0,0,0.79,0,0,0.86
 36-46,0,17.02,0,19.24,0,0,0,1.98,0,0,0
 48-58,0,0,0,15.83,0,0,0,0.7,0,0,0
 60-70,0,0,0,16.79,0,0,0,3.12,0,0,0
 72-82,0.62,0,0,13.44,0,0,0.62,0,0,0,0
 84-94,0,1.3,0.64,13.6,0,0,0,0,0,0,0
 96-106,0,0,0,10.43,0,1.03,0,0,0,0,0
108-118,0,0,0,7.3,0,0,1.59,2.74,0,0,0
120,0,0,0,7.19,0,0,0,0,0,0,0
