stage,epidermis,erythrocytes,eye,fin.epithelia,glial,gut,heart,immune,lateral.line,mesenchyme,mucous,neural,olfactory,otic,periderm,spinal.cord,taste,vascular.smooth.muscle,vasculature
  5-6,0,0,0,0,0,0,0,0,0,0,0,8.03,0,0,56.23,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,8.73,0,0,0,0,0,0,0
 10-12,0,0,9.36,0,0,0,0,0,0,0,0,13.55,0,0,0,0,0,0,0
 24-34,0,0.81,0,0,0,0,0,1.55,0,0,0,0,7.38,0,1.97,0,0,0,6.7
 36-46,0,0,0,0,0,0,0,2.23,0,0,0,2.3,19.22,0,2.25,0,0,0,1.37
 48-58,0,0,0.79,0,1.24,0,0,4.53,0,0,0,4.4,21.36,0,0.51,1.28,0,0,3.27
 60-70,0,0,0,0,0,0,0,2.61,0,1.38,0,1.16,21.38,0,5.1,0,0,0,0
 72-82,0,0,0,0,0,0,0,0,0,0,0,0,32.99,0,3.33,0,0,0,3.45
 84-94,0,1.32,0,1.88,0,0,1.18,0.95,0,0,0,0,36.19,0,13.53,0,0,0,8.23
 96-106,2.05,0,1.59,0,0,2.64,0,3.75,0.63,3.25,0,14.21,56.15,1.17,11.44,0,0,0,8.86
108-118,0.69,0.52,0,0.77,0,0,0,2.89,0,0,0,5.4,46.26,0,11.75,0,0.52,1.8,2.69
120,2.31,0,7.36,0,0,0,0,4.77,0,7.12,5.82,0,46.46,0,15.64,0,0,0,23.15
