stage,epidermis,exocrine_pancreas,eye,fin_epithelia,glial,heart,immune,ionocyte,lateral_line,liver,mesenchyme,mucous,muscle,neural,notochord,otic,periderm,presomitic_mesoderm,spinal_cord,vasculature,xanthophores
 14-21,0.87,0,0,0,0,1.66,0,0,0,0,0,0,0,6.46,0,0,0,2.26,6.87,0,0
 24-34,0.65,0,3.02,0,0,0,0,0.63,0.65,0,1.04,0,0,7.47,0,0,0,0,1.4,0,0
 36-46,0,0,1.64,0,0,0,0,0.62,0,0,0,0,0.6,0.7,0,0,0,0,1.12,0,0
 48-58,0,0,0,0,0.73,0,4.89,0,0.51,0,1.78,0,0,0.77,0,1.88,0,0,0.94,0,0
 60-70,1.13,0,0,0,1.65,0,0,0,1.57,0,0.82,0,0,6.5,0,0,0,0,0,0,0
 72-82,0,1.04,0,0,0,0,0,0,0.6,0,0.58,0,0.76,3.18,0,0,3.23,0,0,0,0
 84-94,0,0,0,1.11,0,0,0,0.67,0,0,4.25,0.98,0,1.57,1.43,0,0,0,0,0,2.12
 96-106,0,0,0,0,1.38,0,0.63,0,2.46,0,3.61,0,0,1.77,0,0,0,0,0,5.13,0
108-118,1.7,0,0,0.89,1.34,0.71,0.56,0,0,0,1.54,0,0,0,0,0,3.23,0,0,1.36,0
120,0,0,0,0,8.42,0,1.96,0,0,4.29,8.67,0,0,0,0,0,2.8,0,0,0,0
