stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fin_epithelia,fin_mesenchyme,glial,hatching_gland,immune,ionocyte,lateral_line,mesenchyme,mural_cell,muscle,neural,notochord,otic,paraxial_mesoderm,pericytes,periderm,pgc,pronephros,somites,spinal_cord,vasculature,visceral_smooth_muscle,xanthophores
  3-4,10.32,253.86,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.39,0,0,0,0,0,0,0
  5-6,26.96,812.11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.65,0,15.6,0,0,0,0,0,0,0
  7-9,0,128.54,12.84,0,0,315.01,0,0,0,7.86,0,0,0,0,0,0,2564.89,9.08,0,287.99,0,0,0,0,0,0,0,0,0
 10-12,0,53.61,8.38,0,0,310.63,0,0,0,0,0,0,0,0,0,0,2603.26,17.36,0,213.9,0,0,0,0,0,7.98,0,0,0
 14-21,0,0,0,8.59,0,13.98,0,0,4.2,0,0,0,0,2.17,0,1.59,631.11,0,0,0,0,0,0,0,0.81,110.9,0,0,0
 24-34,0,0,0,0.62,0,16.03,0,0,21.03,0,0,0,0,3.18,0,0,1475.75,0,0,0,0,1.25,0,0.66,0,251.59,0,0,9.53
 36-46,0,0,0,0,0,28.02,0,0,182.79,0,0,0,0,4.96,0,0,937.23,0,0,0,0,0.72,0,1.25,0,199.12,0,0,2.04
 48-58,0,0,0,0,0,16.39,6.54,0,334.11,0,0,0,0,0.62,0,3.71,505.82,0,1.54,0,0,0,0.65,0,0,230.98,0.82,0,0
 60-70,0,0,0,0,0,10.45,0,0,238.99,0,0,0,0,1.19,0,1.64,86.82,0,0,0,0,0,0,0,0,47.69,0,0,0
 72-82,0,0,0,0.88,0,20.58,0,0,402.19,0,0,0,0,8.39,0,0,118.31,0,1.19,0,0,0,0,0,0,10.61,0,0,0
 84-94,0,0,0,0,0,17.79,0,0,166.33,0,0,0.78,0,3.71,1.01,0,91.67,0,2.56,0,0.6,0.8,0,0,0,10.96,0,0.82,8.66
 96-106,0,0,0,0,0,15.87,0,0,180.74,0,0,0,0.62,1.12,0,0,60.14,0,0,0,0,0,0,0,0,8.33,0,0,0
108-118,0,0,0,0,0.46,2.77,0,0.53,232.52,0,1.76,0,2.29,0,1.38,0,94.89,0,0,0,0,0,0,0,0,3.42,0,0,0
120,0,0,0,1.65,0,22.32,0,0,262.17,0,0,0,1.74,2.33,0,0,92.07,0,0,0,0,0,0,0,0,0,0,0,0
