stage,axial,blastomeres,erythrocytes,eye,glial,immune,iridophores,mesenchyme,neural,paraxial.mesoderm,spinal.cord
  3-4,0,43.07,0,0,0,0,0,0,0,0,0
  5-6,7.22,93.38,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,3.33,0,0,0,0,41.71,3.67,0
 10-12,0,0,0,0,0,0,0,0,8.6,4.87,0
 14-21,0,0,0,0,0,0,0,0,0,0,1.93
 24-34,0,0,0,0,0,0,0,0,6.59,0,1.39
 36-46,0,0,0,0,1.96,0,0,0,15.32,0,1.57
 48-58,0,0,0.63,0,0,0,0,0,12.45,0,3.35
 60-70,0,0,0,2.61,0,0,0,0.57,30.12,0,3.63
 72-82,0,0,0,4.07,0.8,0,0,0,33.93,0,5.09
 84-94,0,0,0,7.32,0,0.78,0,3.73,13.27,0,2.33
 96-106,0,0,0,4.88,0,0,0,2.23,16.95,0,0
108-118,0,0,0,0,0,0,1.01,0,23.74,0,0
120,0,0,0,0,0,0,0,0,33.25,0,0
