stage,blastomeres,epidermis,erythrocytes,eye,fin_epithelia,glial,hatching_gland,immune,liver,mesenchyme,mucous,muscle,neural,otic,paraxial_mesoderm,periderm,pronephros,spinal_cord,vascular_smooth_muscle,vasculature,visceral_smooth_muscle
  5-6,9.43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,3.47,0,0,0,0,0,0,0,0,9.94,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,3.85,0,0,0,0,0,15.96,0,10.18,0,0,0,0,0,0
 14-21,0,4.8,0,0,0,0,0,0,0,0.82,0,0,6.73,0,0,0,0,3.81,0,0,0
 24-34,0,2.1,0,0,0,0.7,0,0,0,0,0,0,20.55,0,0,0.79,0,9.73,0,0,0
 36-46,0,8.31,0,1.72,0,1.38,0,0,0,1,0,0.63,76.83,0,0,0,0,7.65,0,0,0
 48-58,0,2.5,0,3.93,0,0,0,3.11,0,1.28,0,0,72.98,0.43,0,0,0,17.57,0,0,0
 60-70,0,3.78,0,27.33,1.42,2.43,0,0,0,0.97,0,0,315.44,0,0,0,0,16.41,0,0,0
 72-82,0,0,0,35.14,0,3.68,0,0,0,3.51,0,1.04,339.18,3.24,0,0,0,32.91,0,0,0.6
 84-94,0,4.52,0,50.12,0,2.73,0,0,0,0,1.03,0,321.62,1.81,0,0,0,52.95,1.64,0.8,0
 96-106,0,4.59,0,45.69,0,2.25,0,0,6.67,1.04,0,1.21,304.53,0,0,0,0,8.69,0.67,0,0
108-118,0,6.48,0,43.01,0,3.56,0,0,0,1.91,4.91,0,296.26,2.28,0,0,0.42,12.49,0,0,0
120,0,8,1.76,55.39,1.28,1.21,0,0,0,1.92,0,0,556.81,1.64,0,0,0,16.02,0,0,0
