stage,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,slow.muscle,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  5-6,8.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,9.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,4.21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39.61,0,0,0,16.98,0,0,0,7.35,0,0,0,0,0,0,0
 14-21,0,0,0,1.66,1.44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.64,1.86,0,0,0,0,0,0,3.74,0,0,1.27,0,0,0,0,0
 24-34,0,0,0.76,2.28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.95,0,0,3.43,53.72,0,0,0,0,0,0,0,0,0,6.69,0,0,0.64,0,0
 36-46,0,0,0,0,0,0,5.6,0,0,0,2.8,0,0,0,0,0,1.28,0,0,3.85,0,0,1.31,69.06,0,0.66,0,0,0,2.45,0,0.65,0,8.98,0,0,6.38,0,0
 48-58,0,0,0,0,2.19,0,5.04,0,0.55,0,6.69,0,1.78,0,0.37,0,0,3.27,0.41,5.88,0,0,0,92.05,0,1.62,0,0,0,0,0,0,0,20.7,0,0,0,0,0
 60-70,0,0,0,3.15,0,0,41.01,0,6.18,0,13.55,0,0,0,0,0,1.87,21.77,0,7.98,0,0,0.6,61.5,0,2.38,0,0,0,0,0,0,0,8.14,0,0,0,0,0
 72-82,0,0,0,1.99,2.4,0,69.13,0,0,0.69,20,0,0,0,0,0,1.25,357.67,0,25.74,0.77,0,4.15,142.43,0,0,1.8,0,0.77,0,0,0,0,14.39,0,0,2.08,0,0
 84-94,0,0,0,0.7,0.72,2.83,45.07,0,5.33,0,2.74,3.33,0,2.51,0,0.67,3.27,714.22,1.7,18.99,1.23,0,5.73,104.74,0,0,0.88,0,0,0,0,0,0,3.51,0,0,4.15,0,0
 96-106,0,3.6,0,23.68,24.3,2.48,172.34,0,5.3,0.86,52.48,10.04,2.99,4.28,0.66,0.59,6.08,2502.86,0,35.97,0,3.63,3.61,432.19,0.85,6.24,2.37,0,3.1,12.04,0,0,1.48,20.17,2.19,0,2.2,1.45,14.56
108-118,0,1.21,0.74,9.97,8.76,6.79,135.62,0.89,2.39,0.6,31.64,7.17,0,0.5,0,1.6,4.88,4717.4,0.47,81.37,0,1.85,1.63,375.82,1.52,0,2.63,0,0,19.6,0,1.32,0.47,5.17,0.89,0.53,48.48,0,0
120,0,5.04,0,7.29,17.84,0,155.97,1.18,4.64,2.94,24.54,11.01,0,3.09,0,0,3.75,3138.61,0,42.68,0,2.13,0,414.5,0,5.05,14.38,0,8.63,11.64,0,0,0,5.61,1.63,0,2.98,0,13.79
