stage,epidermis,exocrine.pancreas,eye,fin.epithelia,glial,gut,immune,ionocyte,lateral.line,mesenchyme,mucous,muscle,neural,olfactory,otic,paraxial.mesoderm,periderm,somites,spinal.cord,vasculature,xanthophores
  5-6,0,0,0,0,0,0,0,0,0,0,0,0,19.86,0,0,0,0,0,0,0,0
  7-9,0,0,3.63,0,0,0,0,0,0,0,0,0,0,0,0,3.55,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,7.87,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,0.98,0,0,0,4.74,0,0,0,0
 24-34,0.68,0,0.65,0,0,0,0,0,0,0,0,0,10.5,0,0,0,152.1,0.9,6.16,0,0
 36-46,0,0,0,0,0,0,0,9.19,0,2.41,0,0,0.74,0,0,0,204.4,0,0.76,2.42,0
 48-58,3.27,0,0,0.4,0,0.38,0,0,0.51,1.14,1.91,0,6.57,0,0,0,85.43,0,0.51,0,0
 60-70,0.88,0,0,0,0,0.62,0,0,0,0,0,0,2,0,0,0,108.11,0,0,0,0
 72-82,11.77,0,0.54,0,0,3.73,0,0.5,0,0,0,0,6.16,0,0,0,52.58,0,0,0,0
 84-94,3.15,0,0,0.66,0,3.05,0,0.8,0,3.8,1.4,0,6.18,0,0,0,130.57,0,0,0,4.35
 96-106,5.38,0,10.19,0.67,2.04,2.81,0,0,0,1.68,0,2.3,10.11,0.59,0.73,0,187.08,0,2.71,0.58,0
108-118,12.45,3.22,4.83,0.96,2.95,4.87,1.4,1.13,0,3.69,1.51,0,4.64,0,0,0,205.05,0,0,0,0
120,6.82,0,0,3.42,12.15,2.68,2.32,6.28,0,0,0,0,6.6,0,0,0,129.99,0,0,0,0
