stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fin_epithelia,fin_mesenchyme,glial,gut,heart,iridophores,lateral_line,mesenchyme,mucous,mural_cell,muscle,neural,olfactory,otic,paraxial_mesoderm,periderm,presomitic_mesoderm,pronephros,somites,spinal_cord,vasculature,visceral_smooth_muscle,xanthophores
  3-4,0,49.92,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,47.31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24.18,0,0,13.53,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.07,0,0,9.32,0,0,0,0,0,0,0,0
 14-21,0,0,0,0.81,3.69,0.86,2.82,0,0,3.14,0.81,0,0,0,3.55,0,0,3.21,24.07,0,0.88,0.82,0,5.33,0,3.06,5.85,0,0,0
 24-34,0,0,0,0,3.88,0,3.86,0,0,1,0,0,0,0.68,3.73,0,0,0.61,59.69,0,3.47,0,0.72,0,0.6,0.71,12.57,1.13,0,0
 36-46,0,0,0,0,0.59,0,4.04,0,0,0.62,0,0,0,0,3.05,0,0,0.64,27.67,0.69,0,0,0,0,0,0,5.24,0,0,0
 48-58,0,0,0,0,0,0,13.54,0,0,5.32,0,0,0.39,0,8.72,0,0.45,0.44,46.42,0,0.88,0,1.07,0,0,0,5.62,0,0,0
 60-70,0,0,0,0,0.68,0,8.39,0,0,0.61,0,1.5,0,0,12.98,0,0,0.82,30.07,0,0.58,0,0,0,0,0,8.13,0,0,0
 72-82,0,0,0,0,0,0,17.83,0,0,2.16,0,0,0,0,7.45,0,0,0,12.96,0,0,0,0,0,0,0,0,5.07,0,0
 84-94,0.62,0,0.73,0,1.64,0,2.47,0,1.1,2.53,0,0,0,0,7.17,0,0,2.7,2.54,0,0,0,0,0,0,0,4.13,0,0,0
 96-106,0,0,0,0,0.7,0,4.09,0,0,2.28,0,0,0,0,6.79,0,0,0,20.99,0.84,0,0,0,0,0,0,2.94,0.7,0,2.02
108-118,0,0,0,0,0.94,0,4.36,0.55,0,5.65,0,0,0,0,0,1.14,0,0,4.78,1.02,0,0,0,0,0,0,5.05,0.92,0.55,0
120,0,0,0,0,1.27,0,1.95,0,0,2.92,0,0,0,0,6.23,0,0,0,19.59,0,0,0,0,0,0,0,0,0,0,0
