stage,epidermis,eye,glial,gut,heart,iridophores,mesenchyme,muscle,neural,notochord,olfactory,otic,pericytes,periderm,spinal_cord,vasculature
 14-21,0,0,0,0,0,0,0,0,3.45,0,0,0,0,0,1.46,0
 24-34,0,0,0,0,0,0,1.63,0,22.2,0,0,0,0,0,4.53,1.15
 36-46,0,7.64,0,0.56,0,0,0.8,0,25.2,0,0,0,0,0,4.01,0
 48-58,10.44,4.54,2.19,0,0.5,0.51,4.1,0,16.46,8.09,3.55,0,0,1.07,6.11,0
 60-70,0,9.47,0,0,0,0,0,0,21.79,0,0,0,7.62,5.32,4.19,0
 72-82,0,3.78,1.12,0,0,0,0,0,18.67,0,0,0,0,0,0,0
 84-94,0,1.47,0,1.7,0,0,0,0,8.03,0,0,3.8,0,0,0,0
 96-106,0,0,0,0,0,0,0,0,9.38,0,0,0,0,0.62,0.87,0
108-118,0,5.49,4.15,0,0,0,0.99,0,11.49,0,0,0,0,0,0,0
120,0,9.84,0,0,0,0,6.82,1.81,3.5,0,0,0,0,1.14,0,0
