stage,axial,blastomeres,endocrine_pancreas,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,presomitic_mesoderm,pronephros,slow_muscle,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  5-6,11.39,11.08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,14.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,69.36,0,0,0,5.87,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.85,0,0,0,3.39,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.62,0,0,0,0,0,1.7,0,0,2.31,0,0,0,0,0
 24-34,0,0,0,0.62,0,0,0.84,0,0,0,0.94,0,0,0,0,0,0,0,0,2.18,0,0,2.82,3.74,0,0,0,0,0,0,0,0,1.83,0,0,1.93,0,0
 36-46,0,0,0,1.16,0,0,3.6,0,0,0,0,0,0,0,0,0,0,0,0,1.55,0,0,0,6.03,0.92,0,0,0,2.49,0,0,0,2.14,0,0,0,0,0
 48-58,0,0,0,0,0,0,1.38,0,0,0,0.96,0,0,0,0,0,0,0,0,0,0,0,0,9.61,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 60-70,0,0,0,0,0,43.94,9.17,0,0,0.62,0,0,0,0,0,0,0,0,0,2.61,0,0,0,3.25,0,0,0,0,2.56,0,0,0,1.62,0,0,0,0,0
 72-82,0,0,0,1.74,0,617.26,4.23,0,0,3.38,2.48,0,0,0,2,0,0,5.36,0,5.51,0.66,0,0,56.49,0,0,0,0,3.99,0,0,0,2.86,0,0,3.04,0,3.86
 84-94,0,0,0,1.55,5.72,814.96,10.25,0,0,0,4.8,0,0,0,0,0,0,0,0.58,6.17,0,0,1.29,60.13,0,0.95,0,0,3.88,0,0,0,3.75,0,0,0,0,0
 96-106,0,0,2.52,20.13,66.16,6107.8,164.41,0,3.68,2.9,49.36,5.08,0.73,7.48,3.45,1.03,0.88,39.88,0,93.57,0.63,5.19,8.73,556.94,0,11.58,7.57,0,49.94,0,0.73,0,7.48,1.59,10.27,7.95,3.77,7.73
108-118,0,0,1.71,39.15,36.71,21610.72,530.1,3.23,7.33,8.52,85.81,12.61,0,14.22,8.67,10.65,5.6,28.32,11.84,189.4,8.97,4.58,17.03,1195.31,11.67,6.74,3.91,0,101.17,0,0.52,0.56,25.27,3.36,4.61,36.09,2.54,46.65
120,0,0,3.52,52.41,72.94,8940.82,385.19,12.94,0,27.49,187.34,8.35,2.18,24.96,0,1.43,20.65,41.4,0,222.09,1.59,19.66,5.29,1236.4,9.43,0,22.76,0,69.65,0,55.51,1.22,104.52,0,19.86,83.94,9.78,37
